Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,65.55,66.73,65.03,65.50,591600,65.50
2012-12-24,66.07,66.15,65.00,65.30,442400,65.30
2012-12-21,64.92,66.42,64.11,66.15,3476200,66.15
2012-12-20,66.43,66.68,65.17,65.57,3123500,65.57
2012-12-19,67.90,68.62,66.41,66.45,2134300,66.45
2012-12-18,66.30,67.39,66.18,67.23,2029800,67.23
2012-12-17,65.14,66.38,64.95,66.18,1611800,66.18
2012-12-14,64.08,65.24,63.90,65.02,1995400,65.02
2012-12-13,64.01,64.83,63.57,64.28,1649600,64.28
2012-12-12,65.88,66.10,63.81,63.98,2117600,63.98
2012-12-11,63.50,65.92,63.04,65.58,3733800,65.58
2012-12-10,61.84,63.35,61.83,62.56,2503800,62.56
2012-12-07,60.33,62.48,59.92,62.03,4344700,62.03
2012-12-06,59.74,60.81,59.52,60.05,2486800,60.05
2012-12-05,60.72,60.97,58.43,59.90,2847400,59.90
2012-12-04,60.38,61.52,60.25,61.02,2983300,61.02
2012-12-03,61.70,61.95,60.16,60.25,2143100,60.25
2012-11-30,62.61,63.10,60.89,61.16,2746500,61.16
2012-11-29,61.28,62.70,61.19,62.55,2884500,62.55
2012-11-28,60.23,60.92,58.35,60.85,4746800,60.85
2012-11-27,62.14,62.24,60.25,60.28,2770100,60.28
2012-11-26,61.62,62.55,61.30,62.17,1578600,62.17
2012-11-23,62.06,62.11,61.07,61.77,839500,61.77
2012-11-21,60.15,61.95,60.14,61.90,2632900,61.90
2012-11-20,60.98,61.15,59.62,60.16,1856000,60.16
2012-11-19,60.30,61.19,59.99,61.16,2990500,61.16
2012-11-16,57.78,59.50,57.56,59.21,2768500,59.21
2012-11-15,57.35,58.02,56.57,57.77,2750400,57.77
2012-11-14,58.64,59.61,57.16,57.34,2116600,57.34
2012-11-13,58.80,58.89,57.58,57.93,2772100,57.93
2012-11-12,60.44,60.58,59.20,59.29,1851300,59.29
2012-11-09,59.30,60.79,59.30,60.17,2424800,60.17
2012-11-08,62.13,62.50,60.56,60.56,1711200,60.56
2012-11-07,63.91,63.91,62.09,62.10,1581900,62.10
2012-11-06,62.98,65.49,62.98,64.36,3428100,64.36
2012-11-05,62.74,63.04,61.81,62.92,1617800,62.92
2012-11-02,63.98,64.00,62.74,62.77,1773300,62.77
2012-11-01,62.03,63.80,61.48,63.72,2767300,63.72
2012-10-31,63.00,63.45,61.61,61.78,2425300,61.78
2012-10-26,62.81,64.28,62.36,62.82,2954000,62.82
2012-10-25,65.00,65.00,60.14,63.09,9034600,63.09
2012-10-24,64.68,64.86,63.02,64.08,5077100,64.08
2012-10-23,63.00,64.14,62.34,63.81,2612200,63.81
2012-10-22,64.35,64.50,62.62,63.90,3247800,63.90
2012-10-19,64.89,65.97,64.10,64.16,3145200,64.16
2012-10-18,64.97,66.06,64.20,64.91,3356000,64.91
2012-10-17,68.08,68.29,65.03,65.05,4995700,65.05
2012-10-16,66.72,68.80,66.40,68.65,3280000,68.65
2012-10-15,68.33,68.59,66.51,66.79,3003300,66.79
