Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,85.35,85.88,85.35,85.63,133500,79.62
2009-12-23,85.55,85.89,84.79,85.13,523500,79.16
2009-12-22,85.42,85.85,85.18,85.68,597700,79.67
2009-12-21,84.49,85.96,84.23,85.31,849200,79.33
2009-12-18,84.63,85.07,83.69,84.26,1138000,78.35
2009-12-17,84.79,85.09,83.89,84.49,831900,78.56
2009-12-16,84.63,85.82,84.54,85.33,959500,79.35
2009-12-15,85.07,86.39,85.06,85.79,1699800,79.77
2009-12-14,83.76,85.36,83.64,85.01,1577700,79.05
2009-12-11,82.42,83.89,82.29,83.64,1283100,77.77
2009-12-10,81.38,82.25,81.22,82.01,844800,76.26
2009-12-09,80.47,81.34,79.36,81.18,1462500,75.49
2009-12-08,82.87,82.90,81.56,82.14,1243500,76.38
2009-12-07,80.77,83.43,80.75,83.26,1624800,77.42
2009-12-04,79.44,80.87,79.30,80.75,1260300,75.09
2009-12-03,78.98,79.37,78.34,78.47,869500,72.97
2009-12-02,78.26,79.07,78.10,78.69,531600,73.17
2009-12-01,78.93,79.66,78.27,78.34,1216600,72.85
2009-11-30,78.71,78.71,77.56,78.37,841700,72.87
2009-11-27,78.69,79.03,77.87,78.45,348400,72.95
2009-11-25,79.27,80.00,78.71,80.00,670000,74.39
2009-11-24,78.38,78.89,77.76,78.89,990500,73.36
2009-11-23,77.91,79.20,77.91,78.32,762200,72.83
2009-11-20,76.81,77.76,76.81,77.53,745100,72.09
2009-11-19,78.00,78.11,76.80,77.28,662100,71.86
2009-11-18,79.43,79.43,78.18,78.30,706500,72.81
2009-11-17,79.20,79.43,78.64,79.34,581600,73.78
2009-11-16,77.99,79.37,77.66,79.12,770500,73.57
2009-11-13,77.23,77.92,76.70,77.65,571300,72.20
2009-11-12,77.45,77.99,77.18,77.31,577800,71.56
2009-11-11,77.05,77.80,77.05,77.61,786500,71.84
2009-11-10,77.18,77.47,76.84,76.94,766500,71.22
2009-11-09,78.18,78.18,76.94,77.24,1474200,71.50
2009-11-06,75.96,76.64,75.50,76.40,862900,70.72
2009-11-05,74.07,76.06,74.07,76.06,867300,70.41
2009-11-04,72.91,74.95,72.91,73.88,1135600,68.39
2009-11-03,72.95,73.94,72.55,73.94,1008600,68.44
2009-11-02,72.75,73.67,72.71,73.50,1179100,68.04
2009-10-30,73.28,73.51,72.26,72.29,1284800,66.92
2009-10-29,73.36,73.76,72.29,73.56,1456700,68.09
2009-10-28,73.35,74.44,72.27,73.06,1364100,67.63
2009-10-27,77.07,77.07,73.83,73.90,1619200,68.41
2009-10-26,74.49,75.70,73.89,74.16,1253500,68.65
2009-10-23,76.02,76.10,74.09,74.42,1082400,68.89
2009-10-22,74.11,75.79,73.56,75.74,977700,70.11
2009-10-21,75.69,76.45,74.33,74.36,892100,68.83
2009-10-20,77.03,77.03,75.50,75.87,924200,70.23
2009-10-19,76.72,77.25,76.31,77.01,830000,71.29
2009-10-16,75.28,76.98,75.17,76.51,794600,70.82
2009-10-15,75.97,75.98,75.15,75.96,1232800,70.31
