Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,44.65,45.16,44.37,44.99,1506900,43.39
2009-12-23,44.10,44.78,43.78,44.64,5930100,43.06
2009-12-22,42.65,44.08,42.16,43.86,6743700,42.30
2009-12-21,41.77,42.31,41.67,42.26,3976100,40.76
2009-12-18,40.75,41.76,40.68,41.60,7726900,40.12
2009-12-17,39.99,40.72,39.70,39.73,6031500,38.32
2009-12-16,40.00,40.51,39.65,40.19,5112200,38.76
2009-12-15,39.68,40.03,39.58,39.80,5785500,38.39
2009-12-14,39.88,39.93,39.35,39.93,5829500,38.51
2009-12-11,40.75,40.86,39.25,39.40,9681600,38.00
2009-12-10,41.04,41.53,40.28,40.56,6801800,39.12
2009-12-09,40.77,41.15,40.50,41.00,4039900,39.54
2009-12-08,40.76,41.18,40.50,40.74,3531400,39.29
2009-12-07,41.52,41.90,40.67,40.84,4834400,39.39
2009-12-04,42.06,42.33,41.15,41.68,5400000,40.20
2009-12-03,43.47,43.50,41.03,41.15,5491300,39.69
2009-12-02,42.70,43.25,42.13,43.04,5755500,41.51
2009-12-01,41.75,42.75,41.66,42.72,6920800,41.20
2009-11-30,40.36,41.43,40.22,41.30,6625900,39.83
2009-11-27,40.12,40.94,39.70,40.20,3384200,38.77
2009-11-25,41.48,41.82,41.24,41.30,4650100,39.83
2009-11-24,41.39,41.74,40.79,41.56,3355600,40.09
2009-11-23,41.48,42.15,41.05,41.74,4825400,40.26
2009-11-20,41.44,41.96,40.45,40.80,5997600,39.35
2009-11-19,42.41,43.00,41.26,41.69,5565700,40.21
2009-11-18,42.35,42.84,42.33,42.73,6194800,41.21
2009-11-17,41.03,42.50,41.03,41.86,7873600,40.37
2009-11-16,40.89,41.68,40.45,40.69,9565100,39.25
2009-11-13,40.81,41.11,40.25,40.45,7642200,39.01
2009-11-12,42.13,42.34,40.48,40.66,8024400,39.22
2009-11-11,43.40,43.63,42.00,42.23,6617600,40.73
2009-11-10,43.54,43.75,42.61,42.90,4791300,41.38
2009-11-09,42.02,43.76,41.90,43.73,6323200,42.18
2009-11-06,42.00,43.09,41.31,41.45,6322000,39.98
2009-11-05,40.82,42.87,40.18,42.81,8376700,41.29
2009-11-04,42.44,42.97,40.46,40.64,7511200,39.20
2009-11-03,41.74,42.86,41.48,42.21,4766400,40.71
2009-11-02,42.21,42.92,41.46,42.45,5404100,40.94
2009-10-30,44.23,44.23,41.55,41.98,8551400,40.49
2009-10-29,42.99,44.74,42.92,44.52,6914200,42.94
2009-10-28,43.14,43.68,42.43,42.58,6291300,41.07
2009-10-27,44.53,45.06,43.09,43.25,6020000,41.72
2009-10-26,45.84,46.00,44.29,44.50,5822300,42.92
2009-10-23,47.17,47.59,45.49,45.70,6959100,44.08
2009-10-22,46.14,46.79,45.40,46.68,10908500,45.02
2009-10-21,48.16,49.13,45.57,45.88,15231900,44.25
2009-10-20,50.70,51.15,47.23,47.84,21595300,46.14
2009-10-19,53.20,53.79,52.07,52.25,4445300,50.40
2009-10-16,54.05,54.13,52.83,52.92,3806700,51.04
2009-10-15,53.40,55.22,53.40,54.75,4551100,52.81
2009-10-14,54.49,54.75,52.40,53.69,6887100,51.78
2009-10-13,54.83,54.88,53.27,53.50,3678300,51.60
2009-10-12,55.73,55.87,54.60,55.12,2465900,53.16
