Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,53.68,54.14,53.33,53.84,1607800,53.84
2012-12-24,53.61,53.76,53.18,53.47,1293100,53.47
2012-12-21,53.94,54.75,53.76,53.84,6047700,53.84
2012-12-20,54.23,54.70,54.03,54.66,3510000,54.66
2012-12-19,54.25,54.72,54.12,54.12,3385700,54.12
2012-12-18,52.53,54.09,52.53,53.88,4555700,53.88
2012-12-17,52.74,52.97,52.14,52.45,3373500,52.45
2012-12-14,51.53,52.76,51.53,52.57,3323700,52.57
2012-12-13,52.04,52.36,51.54,51.68,3268800,51.68
2012-12-12,52.58,52.81,51.91,52.04,4019400,52.04
2012-12-11,52.48,52.75,52.17,52.45,2577000,52.45
2012-12-10,52.21,52.42,51.49,52.34,3841400,52.34
2012-12-07,52.12,52.51,51.72,52.47,3887900,52.47
2012-12-06,51.13,51.52,50.74,51.40,4440700,51.40
2012-12-05,51.22,51.80,50.75,51.18,4206100,51.18
2012-12-04,51.19,51.68,50.90,51.28,4314300,51.28
2012-12-03,51.48,52.19,51.12,51.15,4525300,51.15
2012-11-30,51.93,52.25,51.64,52.16,7798500,52.16
2012-11-29,52.11,52.43,51.64,51.99,4063800,51.99
2012-11-28,50.87,52.17,50.50,52.03,4370900,52.03
2012-11-27,51.38,51.85,50.97,51.05,3831500,51.05
2012-11-26,52.32,52.68,51.05,51.17,5698300,51.17
2012-11-23,50.77,51.66,50.62,51.58,1841300,51.58
2012-11-21,50.79,51.04,50.21,50.73,4016200,50.73
2012-11-20,50.08,50.94,49.81,50.72,3933200,50.72
2012-11-19,49.52,50.30,49.50,50.25,2972300,50.25
2012-11-16,48.79,49.15,48.24,48.94,4987400,48.94
2012-11-15,48.30,49.00,47.93,48.26,4564900,48.26
2012-11-14,48.90,49.75,48.32,48.45,3688200,48.45
2012-11-13,48.93,49.89,48.13,49.47,2952800,49.47
2012-11-12,49.07,49.88,48.93,49.55,2594600,49.55
2012-11-09,48.40,49.83,48.10,49.05,3849400,49.05
2012-11-08,49.31,49.58,48.70,48.88,4796300,48.88
2012-11-07,49.44,50.11,48.88,49.55,4935700,49.55
2012-11-06,50.44,50.83,50.30,50.42,4338100,50.42
2012-11-05,48.98,50.61,48.84,50.49,5326000,50.49
2012-11-02,49.88,50.33,49.04,49.20,5772700,49.20
2012-11-01,47.74,49.79,47.74,49.59,8070100,49.59
2012-10-31,44.96,47.98,44.96,47.22,7927300,47.22
2012-10-26,45.46,45.75,44.66,45.12,3108900,45.12
2012-10-25,45.66,46.17,44.71,45.42,2964200,45.42
2012-10-24,46.04,46.17,44.91,44.99,3621900,44.99
2012-10-23,45.51,45.85,44.85,45.55,3953400,45.55
2012-10-22,46.85,46.99,45.74,46.10,4846800,46.10
2012-10-19,46.07,46.22,45.30,45.81,5367700,45.81
2012-10-18,46.52,46.63,46.01,46.51,3526800,46.51
