Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,151.46,151.46,144.14,146.03,1158000,146.03
2012-12-24,153.74,153.74,150.10,151.08,252000,151.08
2012-12-21,149.76,151.56,147.53,151.26,973300,151.26
2012-12-20,153.19,153.19,149.04,151.36,724500,151.36
2012-12-19,152.86,154.65,151.59,153.30,809600,153.30
2012-12-18,153.36,154.63,152.22,152.58,861800,152.58
2012-12-17,150.42,153.62,148.96,153.60,1045100,153.60
2012-12-14,149.30,151.15,149.30,150.09,797200,150.09
2012-12-13,150.73,152.03,148.49,148.77,569800,148.77
2012-12-12,154.46,154.90,150.24,150.50,885300,150.10
2012-12-11,152.61,154.22,150.65,154.16,726700,153.75
2012-12-10,155.49,155.91,151.43,151.98,787600,151.58
2012-12-07,154.23,155.80,153.15,155.35,865200,154.94
2012-12-06,152.25,154.05,151.23,153.76,635800,153.35
2012-12-05,154.96,155.40,151.26,152.74,511200,152.33
2012-12-04,157.96,158.14,153.27,154.51,606900,154.10
2012-12-03,158.18,159.46,157.39,157.46,409200,157.04
2012-11-30,160.46,160.49,156.79,157.09,924200,156.67
2012-11-29,162.50,162.50,159.14,160.40,958100,159.97
2012-11-28,159.05,163.62,158.84,162.55,943100,162.12
2012-11-27,158.27,160.31,157.59,159.12,786500,158.70
2012-11-26,159.29,159.95,157.28,158.97,584700,158.55
2012-11-23,158.03,159.97,157.41,159.90,292700,159.48
2012-11-21,156.47,157.76,154.76,156.50,445200,156.08
2012-11-20,156.13,156.62,155.09,156.51,434000,156.09
2012-11-19,154.00,156.55,153.55,156.54,875300,156.12
2012-11-16,148.61,151.83,148.61,151.38,800100,150.98
2012-11-15,149.56,151.22,148.62,149.85,714800,149.45
2012-11-14,153.50,153.79,148.75,149.13,842100,148.73
2012-11-13,148.18,153.89,148.18,152.51,681700,152.10
2012-11-12,151.64,152.70,150.72,151.89,439400,151.49
2012-11-09,151.67,153.18,149.03,151.27,800300,150.87
2012-11-08,155.87,155.87,150.27,150.30,789400,149.90
2012-11-07,158.95,158.95,154.63,155.91,788700,155.50
2012-11-06,160.79,161.56,159.37,160.44,578900,160.01
2012-11-05,159.61,161.66,158.94,161.23,519400,160.80
2012-11-02,163.24,164.77,159.68,160.75,1511200,160.32
2012-11-01,155.00,159.46,153.19,159.04,1099900,158.62
2012-10-31,155.00,157.10,152.51,153.69,1215700,153.28
2012-10-26,153.75,154.96,150.66,152.52,824600,152.11
2012-10-25,155.60,156.32,152.56,153.75,854100,153.34
2012-10-24,156.84,156.95,152.49,154.52,805000,154.11
2012-10-23,158.04,158.04,154.14,155.24,927200,154.83
2012-10-22,159.29,159.93,156.55,159.00,678300,158.58
2012-10-19,164.20,164.99,161.37,161.93,618200,161.50
2012-10-18,162.88,165.41,162.05,164.20,614200,163.76
2012-10-17,164.55,164.99,162.49,163.02,711500,162.59
2012-10-16,160.00,164.01,159.71,163.84,695800,163.40
2012-10-15,156.06,159.88,155.65,159.81,686900,159.39
2012-10-12,155.81,157.06,154.31,154.85,871400,154.44
2012-10-11,158.74,159.33,155.20,155.54,956100,155.13
2012-10-10,157.43,159.65,155.40,155.98,694500,155.57
2012-10-09,155.98,157.92,154.19,154.22,451400,153.81
2012-10-08,156.83,158.61,155.82,156.30,406800,155.88
2012-10-05,159.00,160.25,157.14,157.57,734500,157.15
2012-10-04,154.53,158.85,153.97,158.02,1025400,157.60
2012-10-03,154.70,156.00,153.64,154.55,726400,154.14
2012-10-02,151.96,155.34,151.76,153.83,923600,153.42
2012-10-01,151.60,154.15,150.79,151.76,695500,151.36
2012-09-28,150.77,152.28,148.06,151.23,1114800,150.83
2012-09-27,151.86,153.43,149.75,151.97,810400,151.57
2012-09-26,151.22,152.34,148.51,150.91,606400,150.51
2012-09-25,153.93,155.00,151.39,151.49,643900,150.69
2012-09-24,155.25,155.28,153.33,153.66,442200,152.85
2012-09-21,160.71,160.71,155.02,155.85,885800,155.03
2012-09-20,153.89,158.27,153.12,155.47,673000,154.65
2012-09-19,159.02,159.90,158.05,159.04,548200,158.20
2012-09-18,162.62,162.62,158.41,158.99,631600,158.15
2012-09-17,162.92,163.25,161.02,162.85,552700,161.99
2012-09-14,161.26,164.28,159.89,162.91,1212100,162.05
2012-09-13,158.68,160.66,156.50,160.21,1127700,159.36
2012-09-12,156.45,158.67,156.45,158.59,1064800,157.75
2012-09-11,153.61,156.50,151.32,156.22,2566400,155.39
2012-09-10,161.00,161.98,159.79,160.31,960500,159.46
2012-09-07,159.00,162.03,157.95,161.08,1358500,160.23
2012-09-06,156.21,158.92,154.64,158.85,647800,158.01
2012-09-05,157.40,157.46,154.42,154.80,732200,153.98
2012-09-04,158.55,158.55,155.96,157.02,593000,156.19
2012-08-31,158.70,159.62,156.00,158.65,439900,157.81
2012-08-30,158.15,159.99,157.80,157.84,536900,157.00
2012-08-29,159.68,160.71,158.48,159.34,677300,158.50
2012-08-28,158.67,160.38,157.57,159.06,1074500,158.22
2012-08-27,159.80,160.04,158.16,158.60,1003000,157.76
2012-08-24,156.30,160.76,155.95,159.58,1240500,158.74
2012-08-23,156.76,157.27,155.54,156.48,964700,155.65
