Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,79.79,80.09,79.70,79.83,722500,74.99
2009-12-23,79.65,79.86,79.17,79.68,1751800,74.85
2009-12-22,80.21,80.78,79.53,79.66,1933100,74.83
2009-12-21,80.26,80.82,79.41,79.99,2051900,75.14
2009-12-18,81.38,81.46,79.78,80.28,2117200,75.42
2009-12-17,81.25,81.50,80.53,80.78,1387900,75.89
2009-12-16,82.11,82.59,81.32,81.82,1343300,76.86
2009-12-15,81.41,82.61,81.21,81.64,1675700,76.69
2009-12-14,81.81,82.06,81.00,82.02,1129800,77.05
2009-12-11,82.66,82.69,80.83,81.35,1391500,76.42
2009-12-10,83.08,83.62,81.69,82.08,1251200,77.11
2009-12-09,81.23,82.61,80.53,82.51,1646600,77.51
2009-12-08,81.92,82.02,81.04,81.15,1845100,76.23
2009-12-07,82.43,83.07,81.94,82.39,1168300,77.40
2009-12-04,83.72,86.07,81.65,82.48,2609700,77.48
2009-12-03,82.32,83.41,81.82,82.46,1744900,77.46
2009-12-02,82.93,83.54,82.15,82.72,1234000,77.33
2009-12-01,82.96,83.26,82.50,83.00,891600,77.59
2009-11-30,81.70,82.48,80.75,82.03,1261100,76.69
2009-11-27,80.89,82.42,80.52,81.51,728200,76.20
2009-11-25,82.56,83.20,82.40,83.10,1084100,77.69
2009-11-24,83.25,83.56,82.28,82.78,1179700,77.39
2009-11-23,83.39,84.49,83.00,83.46,764900,78.02
2009-11-20,81.81,82.84,81.74,82.61,1285700,77.23
2009-11-19,83.04,83.76,81.96,82.36,1511700,77.00
2009-11-18,84.76,84.97,83.48,83.88,1100900,78.42
2009-11-17,83.86,84.93,83.63,84.89,1075000,79.36
2009-11-16,84.09,84.97,83.98,84.72,1102700,79.20
2009-11-13,82.45,83.88,82.15,83.52,1092400,78.08
2009-11-12,83.10,83.54,82.20,82.46,1420000,77.09
2009-11-11,83.72,83.79,82.44,83.11,1206300,77.70
2009-11-10,83.51,83.54,82.67,83.42,1237200,77.99
2009-11-09,82.35,83.65,81.93,83.63,1371900,78.18
2009-11-06,80.58,81.87,80.24,81.71,1054500,76.39
2009-11-05,79.59,81.27,79.59,81.20,1024600,75.91
2009-11-04,80.73,81.05,79.12,79.31,1230600,74.14
2009-11-03,79.34,80.41,79.18,80.13,1494700,74.91
2009-11-02,80.15,81.42,78.75,80.08,1506700,74.86
2009-10-30,81.87,81.95,79.32,79.44,2060700,74.27
2009-10-29,81.25,83.02,80.29,82.35,2333700,76.99
2009-10-28,80.50,80.99,76.84,79.89,3513900,74.69
2009-10-27,82.17,83.02,81.47,81.53,1670600,76.22
2009-10-26,82.54,84.11,81.83,82.16,1397200,76.81
2009-10-23,84.68,84.84,82.35,82.68,1429200,77.29
2009-10-22,82.91,84.90,82.00,84.49,1824100,78.99
2009-10-21,83.11,84.59,82.76,82.91,1865100,77.51
2009-10-20,84.58,84.59,83.00,83.60,1273900,78.15
2009-10-19,84.10,84.83,83.78,84.60,1212100,79.09
2009-10-16,83.84,85.24,83.28,84.09,1518300,78.61
2009-10-15,83.54,83.94,82.83,83.91,1574200,78.44
2009-10-14,83.75,84.00,82.98,83.94,1354000,78.47
2009-10-13,82.61,83.07,82.00,82.76,1195400,77.37
2009-10-12,82.58,83.25,82.29,82.80,1261200,77.41
2009-10-09,81.52,82.39,80.96,82.35,1366600,76.99
2009-10-08,81.62,82.00,80.76,81.46,2503500,76.15
2009-10-07,80.63,81.50,80.45,80.73,1603200,75.47
2009-10-06,79.91,81.22,79.68,80.90,1649600,75.63
2009-10-05,79.57,80.22,78.88,79.11,1919700,73.96
2009-10-02,77.81,79.80,77.10,79.21,1923100,74.05
2009-10-01,81.79,81.79,78.95,78.99,3187100,73.84
2009-09-30,81.26,82.24,80.40,81.69,2095800,76.37
2009-09-29,80.61,81.59,80.32,81.00,1450400,75.72
2009-09-28,79.82,81.27,79.69,80.55,1340900,75.30
2009-09-25,79.39,80.71,79.16,79.58,1779600,74.40
2009-09-24,80.57,80.96,79.20,79.53,1378500,74.35
2009-09-23,81.77,82.21,80.08,80.22,1779400,74.99
2009-09-22,82.02,82.25,81.11,81.84,1490800,76.51
2009-09-21,80.68,81.50,79.90,81.35,1767500,76.05
2009-09-18,80.34,81.55,79.68,81.05,2493900,75.77
2009-09-17,79.83,80.66,79.37,79.95,2133700,74.74
2009-09-16,79.01,80.24,78.07,79.88,2394900,74.68
2009-09-15,77.92,78.79,77.01,78.57,1590500,73.45
2009-09-14,76.44,77.92,76.11,77.85,957200,72.78
2009-09-11,77.89,78.00,76.87,77.26,1499100,72.23
2009-09-10,76.60,77.64,75.70,77.56,1527300,72.51
2009-09-09,76.65,77.20,76.20,76.99,1397700,71.97
2009-09-08,77.77,77.77,75.84,76.50,1951200,71.52
2009-09-04,76.03,76.60,75.45,76.59,1074500,71.60
2009-09-03,75.71,76.19,75.01,76.11,1817600,71.15
2009-09-02,75.07,75.17,74.06,75.00,2691400,70.11
2009-09-01,76.10,76.83,75.41,75.47,2728800,70.18
2009-08-31,75.99,76.78,75.52,76.62,1459600,71.25
2009-08-28,77.43,77.68,75.90,76.60,1297300,71.23
2009-08-27,76.48,77.55,76.11,76.77,1177000,71.39
2009-08-26,77.24,78.26,76.60,77.37,1058300,71.95
2009-08-25,77.92,78.60,77.08,77.48,1176500,72.05
2009-08-24,79.05,79.40,77.21,77.46,1717100,72.03
2009-08-21,77.79,79.20,77.46,78.50,1951200,73.00
2009-08-20,77.44,77.44,76.15,76.85,1294700,71.46
2009-08-19,74.71,77.58,73.98,77.11,1318900,71.71
2009-08-18,75.01,76.10,74.85,75.66,1241900,70.36
2009-08-17,73.99,75.42,73.99,74.87,1710100,69.62
2009-08-14,77.31,77.63,74.79,75.90,2881200,70.58
2009-08-13,78.55,78.95,77.19,77.67,1371200,72.23
2009-08-12,76.29,78.59,76.24,77.90,1236600,72.44
2009-08-11,76.66,77.24,75.97,76.78,1045900,71.40
2009-08-10,77.75,77.91,76.44,77.07,1006900,71.67
2009-08-07,78.59,79.20,76.90,78.25,1556900,72.77
2009-08-06,78.29,79.00,77.40,77.81,1431700,72.36
2009-08-05,78.28,78.28,76.86,78.06,1402300,72.59
2009-08-04,77.47,79.49,75.82,78.16,2772600,72.68
2009-08-03,76.68,79.37,75.39,78.23,3128300,72.75
2009-07-31,75.75,79.50,75.38,78.18,3382500,72.70
2009-07-30,75.16,76.00,73.99,75.63,4070300,70.33
2009-07-29,70.06,74.29,70.04,73.51,5341300,68.36
2009-07-28,76.52,77.00,75.44,76.40,1593600,71.04
2009-07-27,76.25,77.15,76.03,77.02,1644100,71.62
2009-07-24,75.99,76.42,75.09,76.30,1247500,70.95
2009-07-23,74.27,76.97,73.66,76.28,2675600,70.93
2009-07-22,72.56,74.50,72.56,74.06,1807200,68.87
2009-07-21,72.48,73.50,71.79,73.36,2058500,68.22
2009-07-20,71.51,72.30,70.69,71.58,1943800,66.56
2009-07-17,71.41,71.87,70.74,71.15,2113300,66.16
2009-07-16,72.34,73.19,71.34,72.08,2777100,67.03
2009-07-15,72.31,72.96,71.53,72.27,2837400,67.20
2009-07-14,71.03,71.37,70.18,71.33,1488100,66.33
2009-07-13,69.30,71.16,68.36,71.05,2024700,66.07
2009-07-10,68.60,69.59,68.02,69.23,2090700,64.38
2009-07-09,69.49,70.07,68.35,69.45,1737600,64.58
2009-07-08,67.68,68.84,67.63,68.50,2753800,63.70
2009-07-07,70.11,70.26,67.19,67.34,2914100,62.62
2009-07-06,68.60,70.84,68.60,70.40,2480700,65.47
2009-07-02,69.72,70.32,68.85,70.16,1811500,65.24
2009-07-01,71.69,72.27,70.76,70.90,1662900,65.93
2009-06-30,72.08,72.62,70.79,71.07,2257700,66.09
2009-06-29,72.32,72.78,71.74,72.32,1593200,67.25
2009-06-26,70.80,72.41,70.36,72.18,2301400,67.12
2009-06-25,69.61,71.29,69.11,71.00,2078000,66.02
2009-06-24,70.23,70.96,69.15,69.67,1857300,64.79
2009-06-23,68.85,70.18,67.97,69.76,2246100,64.87
2009-06-22,70.80,71.27,68.93,69.08,2131000,64.24
2009-06-19,72.32,73.34,71.35,72.14,1991800,67.08
2009-06-18,71.48,73.45,71.19,72.60,1493500,67.51
2009-06-17,70.94,72.72,69.88,71.47,2491600,66.46
2009-06-16,73.09,73.56,71.27,71.27,1941900,66.27
2009-06-15,73.67,73.86,71.77,72.52,1708400,67.44
2009-06-12,75.68,75.68,73.53,74.74,1644500,69.50
2009-06-11,75.13,76.95,75.00,75.91,1565000,70.59
2009-06-10,76.99,76.99,73.45,74.51,1958600,69.29
2009-06-09,75.63,76.42,75.00,76.09,1264200,70.76
2009-06-08,75.24,76.15,74.16,75.42,1128300,70.13
2009-06-05,76.27,77.08,75.20,75.86,1846700,70.54
2009-06-04,75.02,76.50,74.50,76.01,1887100,70.68
