Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,125.07,125.52,124.12,125.00,761100,125.00
2012-12-24,126.17,126.96,124.71,125.04,752900,125.04
2012-12-21,127.53,129.68,125.98,126.25,4748200,126.25
2012-12-20,135.25,135.40,123.46,130.10,13675800,130.10
2012-12-19,127.90,128.68,127.08,128.31,1691900,128.31
2012-12-18,128.42,129.17,127.11,128.04,872800,128.04
2012-12-17,128.23,128.63,125.21,127.84,684000,127.84
2012-12-14,129.15,129.66,127.71,127.90,382300,127.90
2012-12-13,129.80,130.28,128.47,129.22,420100,129.22
2012-12-12,129.74,130.57,128.85,129.70,420300,129.70
2012-12-11,131.20,131.70,128.87,129.12,641500,129.12
2012-12-10,130.30,131.77,130.18,131.00,290000,131.00
2012-12-07,131.60,132.22,130.44,130.72,269500,130.72
2012-12-06,130.16,131.65,129.02,131.14,411300,131.14
2012-12-05,130.85,131.11,129.29,130.18,373800,130.18
2012-12-04,132.65,132.67,130.25,130.85,384600,130.85
2012-12-03,132.24,133.43,131.85,132.00,376400,132.00
2012-11-30,131.97,132.51,131.13,132.15,422700,132.15
2012-11-29,131.65,132.43,130.39,132.21,270400,132.21
2012-11-28,129.83,131.13,129.45,131.00,215100,131.00
2012-11-27,130.96,131.43,129.85,129.97,277200,129.97
2012-11-26,130.58,131.54,130.26,130.81,243800,130.81
2012-11-23,131.03,131.23,130.03,131.19,124100,131.19
2012-11-21,129.80,131.11,128.75,130.52,286000,130.52
2012-11-20,129.62,130.65,128.75,129.87,322200,129.87
2012-11-19,128.94,130.34,128.93,130.03,455900,130.03
2012-11-16,126.85,128.08,126.22,127.60,575800,127.60
2012-11-15,127.98,129.88,126.07,126.74,644600,126.74
2012-11-14,128.32,129.43,127.63,127.94,618500,127.94
2012-11-13,130.09,131.34,128.17,128.34,727700,128.34
2012-11-12,130.73,131.25,129.31,130.55,268700,130.55
2012-11-09,130.38,131.68,130.14,130.30,237600,130.30
2012-11-08,131.47,132.86,129.89,130.38,349100,130.38
2012-11-07,132.88,133.25,130.51,131.57,361400,131.57
2012-11-06,133.03,133.82,131.79,133.45,650700,133.45
2012-11-05,129.15,133.91,128.64,133.28,400800,133.28
2012-11-02,131.86,132.46,129.60,129.83,425000,129.83
2012-11-01,129.56,131.27,129.56,131.24,555000,131.24
2012-10-31,131.19,132.25,130.06,131.00,352100,131.00
2012-10-26,130.70,131.55,130.15,131.19,259400,131.19
2012-10-25,131.41,131.41,128.64,130.50,357200,130.50
2012-10-24,130.46,131.25,130.16,130.47,207400,130.47
2012-10-23,130.06,130.81,129.20,130.38,286600,130.38
2012-10-22,130.52,131.89,129.06,131.56,407200,131.56
2012-10-19,130.45,132.17,130.14,130.20,534500,130.20
2012-10-18,130.73,131.24,130.15,130.47,505500,130.47
2012-10-17,131.08,131.66,130.24,130.78,1368600,130.78
2012-10-16,129.99,131.70,129.36,131.42,321900,131.42
2012-10-15,130.84,130.86,128.02,129.01,579400,129.01
2012-10-12,128.93,130.51,128.38,129.74,752400,129.74
2012-10-11,129.54,129.91,128.71,129.14,405000,129.14
2012-10-10,130.07,130.56,128.19,128.68,355400,128.68
2012-10-09,130.43,130.90,128.34,129.68,495500,129.68
2012-10-08,130.63,131.22,130.22,130.45,237000,130.45
2012-10-05,132.69,133.09,130.67,131.00,333600,131.00
2012-10-04,131.88,132.92,130.93,132.01,466800,132.01
2012-10-03,130.48,132.07,130.07,131.50,541000,131.50
2012-10-02,132.61,132.99,129.72,130.48,897500,130.48
2012-10-01,133.86,134.75,131.69,131.92,720600,131.92
2012-09-28,134.98,136.23,133.18,133.41,729800,133.41
2012-09-27,135.85,136.88,134.93,135.14,244900,135.14
2012-09-26,134.98,135.53,134.46,134.67,390900,134.67
2012-09-25,137.42,138.18,135.16,135.21,306900,135.21
