Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,80.16,80.99,80.15,80.62,813100,80.62
2013-01-04,80.59,80.60,80.17,80.35,884400,80.35
2013-01-03,79.90,80.75,79.66,80.39,1174200,80.39
2013-01-02,79.26,79.45,78.73,79.45,1011300,79.45
2012-12-31,77.41,78.23,76.76,78.19,758900,78.19
2012-12-28,77.99,78.03,77.25,77.34,566800,77.34
2012-12-27,78.07,78.48,77.54,78.28,520400,78.28
2012-12-26,78.63,78.75,77.57,78.02,539600,78.02
2012-12-24,78.64,79.01,78.26,78.56,240500,78.56
2012-12-21,78.78,79.05,78.32,78.86,1621500,78.86
2012-12-20,78.65,79.17,78.57,79.13,1031700,79.13
2012-12-19,78.93,79.34,78.52,78.53,902000,78.53
2012-12-18,78.86,78.92,78.38,78.84,1163100,78.84
2012-12-17,77.82,78.74,77.69,78.73,926200,78.73
2012-12-14,78.15,78.64,77.60,77.72,1211900,77.72
2012-12-13,78.46,79.09,78.31,78.47,1099400,78.47
2012-12-12,78.43,79.10,78.25,78.61,1330400,78.61
2012-12-11,77.65,78.47,77.50,78.22,1363000,78.22
2012-12-10,77.40,77.82,77.13,77.48,1107900,77.48
2012-12-07,77.32,77.70,76.84,77.63,775100,77.63
2012-12-06,76.90,77.22,76.32,77.10,864600,77.10
2012-12-05,76.98,77.78,76.74,77.39,1136300,76.89
2012-12-04,76.33,77.12,76.22,76.97,871800,76.48
2012-12-03,76.72,76.72,76.03,76.24,902100,75.75
2012-11-30,77.10,77.15,76.31,76.67,1668400,76.18
2012-11-29,77.84,78.22,76.85,76.97,1109400,76.48
2012-11-28,77.02,77.73,76.34,77.61,1131200,77.11
2012-11-27,77.36,77.89,76.98,77.15,1162800,76.66
2012-11-26,77.33,77.96,77.04,77.76,1460400,77.26
2012-11-23,77.00,77.73,76.75,77.73,464500,77.23
2012-11-21,76.27,77.03,76.06,76.82,1215000,76.33
2012-11-20,75.82,76.28,75.39,76.18,969800,75.69
2012-11-19,76.17,76.67,75.61,75.79,1270500,75.31
2012-11-16,75.51,76.28,75.34,75.59,1321200,75.11
2012-11-15,74.73,75.55,74.65,75.45,1180100,74.97
2012-11-14,75.19,75.36,74.18,74.63,958800,74.15
2012-11-13,74.41,75.60,74.41,74.88,847300,74.40
2012-11-12,75.53,75.53,74.26,74.63,1116400,74.15
2012-11-09,75.00,75.99,74.92,75.23,741000,74.75
2012-11-08,75.52,75.54,74.81,75.08,1732800,74.60
2012-11-07,75.75,77.21,74.70,75.53,1607600,75.05
2012-11-06,76.86,78.51,76.75,78.47,1720600,77.97
2012-11-05,75.44,76.79,75.40,76.59,775600,76.10
2012-11-02,76.73,76.83,75.58,75.67,813200,75.19
2012-11-01,75.49,76.56,75.03,76.28,725400,75.79
2012-10-31,75.15,75.86,74.85,75.68,941200,75.20
2012-10-26,75.34,75.73,74.97,75.34,725500,74.86
2012-10-25,75.49,75.85,74.99,75.29,943000,74.81
2012-10-24,75.53,75.89,75.20,75.26,717200,74.78
2012-10-23,75.27,75.93,74.85,75.40,761900,74.92
2012-10-22,75.39,75.98,75.32,75.90,602000,75.41
2012-10-19,76.40,76.50,75.51,75.65,787600,75.17
2012-10-18,77.03,77.11,76.33,76.89,665500,76.40
2012-10-17,77.10,77.30,76.45,77.08,830300,76.59
2012-10-16,76.78,77.49,76.78,77.26,826400,76.77
2012-10-15,77.33,77.33,76.26,76.51,801300,76.02
2012-10-12,77.09,77.48,76.49,76.62,943800,76.13
2012-10-11,77.00,77.55,76.81,77.03,890300,76.54
2012-10-10,76.88,77.00,76.24,76.40,1303700,75.91
2012-10-09,79.13,79.13,77.15,77.23,1192700,76.74
2012-10-08,79.45,79.66,79.16,79.46,460000,78.95
2012-10-05,79.44,79.65,79.16,79.45,721900,78.94
2012-10-04,78.99,79.27,78.70,79.20,712500,78.69
2012-10-03,78.98,79.19,78.47,78.77,796500,78.27
2012-10-02,79.03,79.27,78.84,79.20,606900,78.69
2012-10-01,78.65,79.48,78.60,78.95,967000,78.45
2012-09-28,78.61,78.85,78.11,78.56,993000,78.06
2012-09-27,78.93,79.07,78.28,78.74,718900,78.24
2012-09-26,78.92,79.00,78.31,78.34,710500,77.84
2012-09-25,79.41,79.68,78.70,79.00,1255800,78.49
2012-09-24,78.57,79.19,78.53,79.11,1166700,78.60
2012-09-21,79.53,79.64,79.16,79.32,890100,78.81
2012-09-20,78.98,79.32,78.67,79.22,1073700,78.71
2012-09-19,79.49,79.68,79.00,79.19,849000,78.68
2012-09-18,79.44,79.58,79.18,79.49,805600,78.98
2012-09-17,79.02,79.49,78.87,79.41,891300,78.90
2012-09-14,78.55,79.34,78.10,79.16,1312700,78.65
2012-09-13,78.04,78.88,77.81,78.62,991300,78.12
2012-09-12,78.30,78.42,77.95,78.01,1540700,77.51
2012-09-11,77.75,78.64,77.62,78.25,1201300,77.75
2012-09-10,77.88,78.00,77.36,77.66,1071400,77.16
2012-09-07,77.24,77.89,77.13,77.88,951100,77.38
2012-09-06,76.82,77.24,76.75,77.20,1044200,76.71
2012-09-05,76.16,76.79,75.81,76.49,1266500,76.00
2012-09-04,76.08,76.88,75.85,76.58,1269900,75.64
2012-08-31,76.00,76.30,75.62,75.98,1459200,75.05
2012-08-30,75.35,76.03,75.30,75.81,1094300,74.88
2012-08-29,75.65,76.06,75.49,75.52,1136700,74.60
2012-08-28,75.54,76.12,75.52,75.65,859300,74.72
2012-08-27,75.64,76.23,75.55,75.81,818600,74.88
2012-08-24,75.23,76.06,75.23,75.93,739200,75.00
2012-08-23,75.98,76.01,75.14,75.27,1057900,74.35
2012-08-22,76.05,76.23,75.75,75.99,815500,75.06
2012-08-21,76.61,77.25,76.12,76.16,1517600,75.23
2012-08-20,76.46,76.89,76.25,76.58,1223200,75.64
2012-08-17,76.05,76.69,75.75,76.55,1193200,75.61
2012-08-16,75.96,76.37,75.82,75.89,1010400,74.96
2012-08-15,75.92,76.36,75.83,76.17,588200,75.24
2012-08-14,76.40,76.40,75.79,76.06,610800,75.13
2012-08-13,75.80,76.23,75.58,76.21,739600,75.28
2012-08-10,75.42,75.96,75.01,75.89,920900,74.96
2012-08-09,75.59,75.89,75.26,75.50,1071600,74.58
