Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,86.70,87.75,86.03,87.09,650500,87.09
2013-01-04,85.01,87.05,85.01,86.82,747300,86.82
2013-01-03,86.78,86.81,85.50,86.22,876700,86.22
2013-01-02,88.96,88.96,87.79,88.71,576800,88.71
2012-12-31,86.09,87.28,85.80,87.12,678100,87.12
2012-12-28,87.06,87.12,86.23,86.25,344300,86.25
2012-12-27,87.57,87.97,86.44,87.53,421600,87.53
2012-12-26,88.78,88.78,87.05,87.38,237400,87.38
2012-12-24,88.28,88.79,88.08,88.62,180000,88.62
2012-12-21,88.72,88.99,88.14,88.42,875600,88.42
2012-12-20,88.39,89.51,88.16,89.33,554200,89.33
2012-12-19,89.39,89.39,88.35,88.39,575500,88.39
2012-12-18,88.34,89.25,87.92,89.20,454500,89.20
2012-12-17,87.56,88.22,87.46,88.18,633400,88.18
2012-12-14,87.06,87.90,86.85,87.35,407700,87.35
2012-12-13,87.33,87.75,86.97,87.43,303400,87.43
2012-12-12,87.23,88.20,86.49,87.61,646000,87.61
2012-12-11,86.24,87.53,86.08,87.06,642900,87.06
2012-12-10,85.21,86.60,85.21,86.00,421900,86.00
2012-12-07,85.10,85.87,84.48,85.50,589000,85.50
2012-12-06,84.10,85.05,83.59,85.02,573500,85.02
2012-12-05,84.41,84.89,83.97,84.15,388500,84.15
2012-12-04,84.24,84.88,84.00,84.43,351900,84.43
2012-12-03,84.73,85.30,83.98,84.14,272900,84.14
2012-11-30,84.39,84.74,83.97,84.55,612500,84.55
2012-11-29,83.97,84.69,83.66,84.55,375200,84.55
2012-11-28,82.48,83.73,82.02,83.73,352100,83.73
2012-11-27,82.80,83.51,82.57,82.95,596600,82.95
2012-11-26,83.27,83.61,82.70,83.27,522800,83.27
2012-11-23,82.63,83.65,82.39,83.64,126400,83.64
2012-11-21,82.85,83.10,81.86,82.13,292600,82.13
2012-11-20,82.79,83.60,82.12,82.84,339600,82.84
2012-11-19,82.14,83.17,82.14,83.17,349800,83.17
2012-11-16,81.10,81.84,80.35,81.21,534200,81.21
2012-11-15,80.49,81.32,80.04,81.13,692800,81.13
2012-11-14,82.58,82.68,80.46,80.74,662600,80.74
2012-11-13,82.32,83.19,82.07,82.39,341200,82.39
2012-11-12,83.29,83.31,82.25,82.91,527900,82.91
2012-11-09,83.08,84.11,82.89,82.97,651900,82.97
2012-11-08,83.91,84.34,83.21,83.21,357200,83.21
2012-11-07,84.75,84.76,83.17,84.00,356200,84.00
2012-11-06,84.74,86.00,84.44,85.38,381700,85.38
2012-11-05,82.94,84.87,82.84,84.74,387000,84.74
2012-11-02,84.57,84.98,83.22,83.49,459500,83.49
2012-11-01,82.00,84.28,81.97,84.19,499800,84.19
2012-10-31,81.49,82.02,80.83,81.81,521700,81.81
2012-10-26,80.95,81.74,80.56,81.56,711400,81.56
2012-10-25,80.35,81.20,80.13,80.67,433400,80.67
2012-10-24,78.93,80.10,78.83,79.60,556500,79.60
2012-10-23,79.83,80.62,78.33,78.89,786800,78.89
2012-10-22,79.94,81.93,79.94,81.06,925000,81.06
2012-10-19,80.80,80.91,79.23,79.88,616200,79.88
2012-10-18,81.59,81.77,79.46,81.10,574000,81.10
2012-10-17,81.72,82.35,81.51,82.11,280500,82.11
2012-10-16,80.81,81.87,80.81,81.69,263400,81.69
2012-10-15,80.39,80.82,80.00,80.60,357400,80.60
2012-10-12,81.00,81.31,80.30,80.38,315800,80.38
2012-10-11,80.89,81.95,80.81,80.89,295900,80.89
2012-10-10,81.80,81.96,80.00,80.39,590600,80.39
2012-10-09,84.12,84.44,81.94,81.98,622600,81.98
2012-10-08,83.98,84.50,83.94,84.37,226200,84.37
2012-10-05,84.86,85.11,84.11,84.35,223700,84.35
2012-10-04,84.66,85.18,84.28,84.45,528200,84.45
2012-10-03,84.19,85.07,83.91,84.32,237800,84.32
2012-10-02,84.60,84.90,83.67,84.01,332800,84.01
2012-10-01,83.65,85.04,83.55,84.16,563900,84.16
2012-09-28,83.69,83.78,82.83,83.33,747500,83.33
2012-09-27,83.83,84.34,83.47,84.12,383500,84.12
2012-09-26,84.21,84.31,83.11,83.36,488500,83.36
2012-09-25,84.96,85.38,84.04,84.12,367700,84.12
2012-09-24,84.31,84.86,83.85,84.62,382100,84.62
2012-09-21,85.61,85.78,84.45,84.69,596900,84.69
2012-09-20,84.75,85.15,83.79,85.09,545500,85.09
2012-09-19,85.38,85.38,84.64,85.01,258800,85.01
2012-09-18,84.92,85.51,84.47,85.24,574600,85.24
2012-09-17,84.90,85.05,84.32,84.92,579400,84.92
2012-09-14,85.11,85.92,84.62,85.04,532500,85.04
2012-09-13,83.78,85.37,83.21,85.15,822600,85.15
2012-09-12,83.66,84.15,83.08,83.64,538100,83.64
2012-09-11,83.34,83.87,83.22,83.42,572100,83.42
2012-09-10,83.00,83.71,82.52,83.22,647100,83.22
2012-09-07,81.99,83.29,81.89,83.18,742700,83.18
2012-09-06,80.45,81.76,80.15,81.67,587500,81.67
2012-09-05,79.73,79.99,78.95,79.61,904800,79.61
2012-09-04,80.06,80.21,78.80,79.87,834600,79.87
2012-08-31,79.74,80.65,79.01,80.19,863300,80.19
2012-08-30,78.49,79.36,78.20,79.09,719600,79.09
2012-08-29,77.63,79.44,77.45,79.18,881800,79.18
2012-08-28,77.95,78.33,77.22,77.54,998000,77.54
2012-08-27,77.79,78.49,77.50,78.01,438600,78.01
2012-08-24,77.02,78.00,76.74,77.72,669200,77.72
2012-08-23,76.66,77.56,76.23,77.10,687400,77.10
2012-08-22,76.02,76.89,75.67,76.65,825200,76.65
2012-08-21,76.00,76.73,75.72,76.00,535900,76.00
2012-08-20,75.11,76.00,75.03,75.75,665800,75.75
2012-08-17,76.16,76.43,74.36,75.26,1007200,75.26
2012-08-16,77.88,77.88,75.90,76.17,1052800,76.17
2012-08-15,77.22,78.53,77.08,78.33,602600,78.33
2012-08-14,78.24,78.25,77.04,77.33,383700,77.33
2012-08-13,78.29,78.49,77.29,78.02,488300,78.02
2012-08-10,78.41,78.67,77.94,78.65,350900,78.65
2012-08-09,79.20,79.94,78.24,78.56,556200,78.56
2012-08-08,78.60,79.81,78.26,79.27,950800,79.27
2012-08-07,77.11,78.89,76.71,78.68,791600,78.68
2012-08-06,77.54,77.62,76.37,77.00,840900,77.00
2012-08-03,76.71,78.41,76.60,77.11,900400,77.11
2012-08-02,76.65,76.91,74.72,75.40,554000,75.40
2012-08-01,77.81,78.22,77.05,77.32,837100,77.32
2012-07-31,78.12,78.87,77.32,77.48,389500,77.48
2012-07-30,78.89,79.12,78.01,78.11,518100,78.11
2012-07-27,77.49,79.42,77.26,79.06,519300,79.06
2012-07-26,77.17,79.98,76.38,77.09,741200,77.09
2012-07-25,75.48,76.90,74.90,75.11,1091300,75.11
2012-07-24,74.77,78.15,74.40,75.69,2022300,75.69
