Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,40.94,41.27,40.94,41.02,1171700,39.61
2009-12-23,40.94,41.23,40.61,40.83,3225900,39.43
2009-12-22,40.83,41.20,40.42,40.59,4408200,39.20
2009-12-21,41.03,41.46,40.64,40.86,3510500,39.46
2009-12-18,41.50,41.52,40.16,40.51,5950500,39.12
2009-12-17,40.88,41.22,40.37,41.08,4727900,39.67
2009-12-16,41.10,41.50,40.82,40.94,5929700,39.54
2009-12-15,39.81,41.09,39.71,40.78,5863200,39.38
2009-12-14,39.96,40.36,39.80,39.85,4952700,38.48
2009-12-11,39.12,39.46,38.57,39.30,4514900,37.95
2009-12-10,38.58,39.28,38.23,38.96,3813200,37.62
2009-12-09,38.16,38.65,37.66,38.32,4699600,37.01
2009-12-08,38.37,38.62,37.74,38.04,3821800,36.73
2009-12-07,38.99,39.69,38.76,38.92,4230600,37.58
2009-12-04,40.00,40.55,38.72,39.09,6015400,37.75
2009-12-03,40.40,40.52,39.28,39.35,4460800,38.00
2009-12-02,40.78,41.18,40.13,40.48,3636300,39.09
2009-12-01,41.34,41.71,40.97,41.06,5246000,39.65
2009-11-30,39.78,40.84,39.30,40.74,5485600,39.34
2009-11-27,41.13,41.13,39.85,40.36,2253200,38.98
2009-11-25,40.81,41.75,40.51,41.59,3448700,40.16
2009-11-24,40.90,41.17,40.18,41.00,3332400,39.59
2009-11-23,41.52,42.19,40.68,40.97,5606400,39.56
2009-11-20,40.91,41.49,40.31,40.49,4614400,39.10
2009-11-19,41.78,41.99,40.91,41.18,7428600,39.77
2009-11-18,43.26,43.38,41.56,42.21,7512300,40.76
2009-11-17,43.31,43.49,42.39,43.06,5234900,41.58
2009-11-16,41.89,43.90,41.63,43.34,5594900,41.85
2009-11-13,41.38,41.90,40.78,41.45,4275100,40.03
2009-11-12,42.77,43.12,41.09,41.43,5901600,40.01
2009-11-11,42.93,43.55,42.75,43.22,4376300,41.74
2009-11-10,42.90,43.16,41.76,42.50,4597400,41.04
2009-11-09,41.89,43.21,41.89,43.06,4736700,41.58
2009-11-06,41.40,41.95,40.75,41.18,6674700,39.77
2009-11-05,41.26,42.17,41.07,42.12,5792400,40.67
2009-11-04,42.76,42.87,40.53,40.89,12561300,39.49
2009-11-03,41.60,43.75,41.35,43.43,4772100,41.94
2009-11-02,42.31,43.27,41.25,42.21,5001800,40.76
2009-10-30,43.90,43.91,41.52,42.07,6341400,40.63
2009-10-29,42.48,44.38,42.47,44.25,5334300,42.73
2009-10-28,43.91,43.99,42.07,42.12,5698800,40.53
2009-10-27,44.87,44.87,43.50,44.08,5658900,42.42
2009-10-26,45.44,46.66,44.15,44.22,5314700,42.55
2009-10-23,47.03,47.39,44.90,45.36,4476700,43.65
2009-10-22,46.58,47.16,45.44,46.90,4103700,45.13
2009-10-21,45.84,48.19,45.82,46.58,5197300,44.82
2009-10-20,47.34,47.40,45.43,46.48,4403300,44.73
2009-10-19,47.31,47.55,46.56,47.34,4726400,45.55
2009-10-16,47.25,47.54,46.25,47.03,5513400,45.25
2009-10-15,45.24,47.67,45.08,47.67,7972900,45.87
2009-10-14,45.79,46.28,45.65,46.21,4921000,44.47
2009-10-13,45.53,45.63,44.04,45.03,4800000,43.33
2009-10-12,45.25,46.10,45.04,45.36,3477700,43.65
2009-10-09,44.55,45.25,44.42,44.88,4127500,43.19
2009-10-08,43.94,45.23,43.14,44.98,6838100,43.28
2009-10-07,42.63,43.74,42.49,43.67,4724300,42.02
2009-10-06,42.64,43.50,42.46,42.68,6092700,41.07
2009-10-05,40.50,41.80,40.46,41.76,4461200,40.18
2009-10-02,40.89,41.34,40.18,40.66,5169000,39.13
2009-10-01,43.08,43.54,41.55,41.65,6971200,40.08
2009-09-30,43.37,43.50,42.00,42.66,5938200,41.05
2009-09-29,42.52,43.16,42.29,43.03,6227700,41.41
2009-09-28,42.42,43.31,42.30,43.30,5139800,41.67
2009-09-25,41.81,42.71,41.72,42.37,6905200,40.77
2009-09-24,43.22,43.29,41.86,42.24,5432900,40.65
2009-09-23,43.89,44.42,42.71,43.36,7816500,41.72
2009-09-22,43.87,44.61,43.73,43.94,6029200,42.28
2009-09-21,43.15,44.35,42.90,43.10,12914800,41.47
2009-09-18,41.45,44.25,41.16,44.01,22821900,42.35
2009-09-17,40.06,41.11,39.66,40.78,12303400,39.24
2009-09-16,39.00,40.40,38.75,39.87,8250100,38.36
2009-09-15,38.28,38.88,37.84,38.76,7789500,37.30
2009-09-14,36.95,38.37,36.75,38.30,7586600,36.85
2009-09-11,36.51,37.64,36.50,37.58,11793800,36.16
2009-09-10,35.84,36.38,35.57,36.34,10128500,34.97
2009-09-09,36.42,36.45,35.55,35.76,10547300,34.41
2009-09-08,36.37,36.80,35.97,36.12,15009500,34.76
2009-09-04,35.49,35.80,35.29,35.62,6905100,34.28
2009-09-03,35.44,35.64,35.30,35.63,7875100,34.28
2009-09-02,35.17,35.88,35.01,35.01,12017000,33.69
2009-09-01,34.72,35.70,34.51,35.43,17636100,34.09
2009-08-31,36.28,36.34,34.17,34.45,21832000,33.15
2009-08-28,38.41,38.70,37.79,38.09,2194300,36.65
2009-08-27,38.07,38.23,37.14,38.09,2614500,36.65
2009-08-26,38.06,38.44,37.79,38.34,2565100,36.89
2009-08-25,39.52,39.74,38.05,38.30,3794800,36.85
2009-08-24,39.04,39.69,38.95,39.18,3372100,37.70
2009-08-21,38.10,38.90,37.90,38.71,5037100,37.25
2009-08-20,37.15,37.92,37.07,37.61,3846100,36.19
2009-08-19,36.25,37.50,35.66,37.10,3823500,35.70
2009-08-18,35.59,36.78,35.32,36.61,4145500,35.23
2009-08-17,35.99,36.10,35.21,35.48,3212200,34.14
2009-08-14,37.99,37.99,36.62,36.97,4848200,35.57
2009-08-13,37.18,37.95,36.86,37.90,7449200,36.47
2009-08-12,36.68,37.15,36.40,36.81,7637800,35.42
2009-08-11,37.21,37.21,36.42,36.75,6348000,35.36
2009-08-10,37.48,37.75,36.85,37.21,5797600,35.81
2009-08-07,38.46,38.73,37.12,37.37,6951400,35.96
2009-08-06,38.38,38.38,36.82,38.05,10045200,36.61
2009-08-05,39.87,40.00,38.60,38.68,13075100,37.22
2009-08-04,41.96,42.41,41.12,41.97,7097400,40.39
2009-08-03,41.36,42.75,41.24,42.27,5944800,40.67
2009-07-31,39.70,40.53,39.32,40.50,4725100,38.97
2009-07-30,39.70,40.49,39.16,40.01,2848400,38.50
2009-07-29,39.42,39.50,38.17,38.93,4442300,37.32
2009-07-28,40.62,40.78,39.08,40.07,3723400,38.41
2009-07-27,41.47,41.73,40.59,41.15,2929500,39.44
2009-07-24,39.96,41.50,39.93,41.46,4159200,39.74
2009-07-23,38.75,40.93,38.55,40.86,4691600,39.17
2009-07-22,38.92,39.70,38.40,39.00,3504700,37.38
2009-07-21,39.90,40.15,38.80,39.52,3928500,37.88
2009-07-20,39.10,39.50,38.19,39.43,3661400,37.80
2009-07-17,38.09,38.82,37.64,38.55,3945500,36.95
2009-07-16,37.21,38.21,36.87,38.06,3056600,36.48
2009-07-15,36.71,37.63,36.68,37.44,3665900,35.89
2009-07-14,35.53,36.16,35.38,36.06,4085000,34.57
2009-07-13,34.55,35.23,33.42,35.17,3708500,33.71
2009-07-10,34.21,34.77,33.68,34.53,4018600,33.10
2009-07-09,34.83,35.45,34.12,34.80,5615400,33.36
2009-07-08,33.46,34.61,33.13,34.51,10239300,33.08
2009-07-07,34.50,34.62,33.11,33.41,7065700,32.02
2009-07-06,33.80,34.63,33.59,34.57,4910300,33.14
2009-07-02,35.66,35.66,34.47,34.72,4038200,33.28
2009-07-01,36.97,37.37,36.31,36.45,4927700,34.94
2009-06-30,36.78,37.50,35.97,36.44,4426000,34.93
2009-06-29,37.54,37.65,36.63,36.78,3747800,35.26
2009-06-26,36.18,37.19,36.18,36.88,7746200,35.35
2009-06-25,36.18,36.85,35.64,36.56,5603300,35.04
2009-06-24,36.82,36.99,35.80,35.96,4863100,34.47
2009-06-23,36.17,36.89,35.68,36.40,4551700,34.89
2009-06-22,36.75,36.78,35.71,35.74,6602500,34.26
2009-06-19,38.51,38.55,37.12,37.69,5547300,36.13
2009-06-18,38.25,38.93,37.68,37.92,3684700,36.35
2009-06-17,39.25,39.35,37.83,38.15,5726400,36.57
2009-06-16,41.19,41.48,39.31,39.59,5287000,37.95
2009-06-15,41.11,41.11,39.80,40.34,3159900,38.67
2009-06-12,41.75,41.88,41.17,41.72,3882400,39.99
2009-06-11,40.88,43.00,40.84,42.33,5000400,40.58
2009-06-10,40.44,40.99,39.94,40.65,4694600,38.96
2009-06-09,39.92,40.27,39.06,39.64,3971700,38.00
2009-06-08,38.70,38.99,37.59,38.67,4280900,37.07
2009-06-05,40.61,40.91,38.54,39.13,4165800,37.51
2009-06-04,39.51,40.31,39.27,40.07,3534800,38.41
2009-06-03,39.82,40.01,38.17,38.94,4022500,37.33
2009-06-02,40.95,41.07,39.97,40.66,4878400,38.97
2009-06-01,40.12,41.42,39.95,40.93,5601600,39.23
2009-05-29,38.09,39.12,38.00,39.06,5520300,37.44
2009-05-28,36.89,37.98,36.01,37.54,4656600,35.98
2009-05-27,37.13,37.55,36.27,36.32,3211800,34.81
2009-05-26,35.44,37.06,34.84,36.88,4080500,35.35
2009-05-22,36.10,36.54,35.46,35.86,2688000,34.37
2009-05-21,36.28,36.29,34.86,35.46,4041900,33.99
2009-05-20,37.41,38.62,37.06,37.21,4454800,35.67
2009-05-19,37.13,37.39,36.11,36.89,4559300,35.36
2009-05-18,35.95,37.27,35.90,37.20,3858000,35.66
2009-05-15,35.72,36.54,35.05,35.32,4385700,33.86
2009-05-14,35.79,36.50,35.66,35.95,4443700,34.46
2009-05-13,37.09,37.59,36.15,36.42,6022600,34.91
2009-05-12,38.29,38.29,36.78,37.70,4173700,36.14
2009-05-11,38.64,38.65,37.24,37.61,3218400,36.05
2009-05-08,38.63,39.28,38.05,39.20,5681100,37.57
2009-05-07,40.30,40.65,37.39,38.12,5107700,36.54
2009-05-06,39.70,40.00,38.61,39.36,4200200,37.73
2009-05-05,38.55,39.50,37.43,38.25,4858200,36.66
2009-05-04,37.25,38.50,37.16,38.38,5309100,36.79
2009-05-01,35.96,37.33,35.43,36.91,5041400,35.38
2009-04-30,37.06,37.08,35.04,35.58,6216300,34.10
2009-04-29,35.00,37.56,34.53,36.95,6930500,35.27
2009-04-28,34.10,34.61,33.43,33.94,3289600,32.40
2009-04-27,34.58,35.25,33.90,34.49,4222200,32.93
2009-04-24,34.37,35.68,34.25,35.46,5032600,33.85
2009-04-23,33.66,34.31,32.61,33.58,4537500,32.06
2009-04-22,32.35,34.69,31.93,33.52,5402400,32.00
2009-04-21,30.71,32.73,30.46,32.72,5037900,31.24
2009-04-20,32.22,32.59,30.96,31.09,3605500,29.68
2009-04-17,33.11,33.51,32.39,33.24,4194800,31.73
2009-04-16,31.57,33.35,31.17,32.97,5137400,31.47
2009-04-15,30.61,31.61,30.60,31.31,3487800,29.89
2009-04-14,30.44,31.75,29.90,30.78,6073800,29.38
2009-04-13,30.26,31.05,29.41,30.75,3768100,29.36
2009-04-09,30.75,30.97,29.99,30.97,4256700,29.57
2009-04-08,29.26,29.90,28.15,29.75,4554600,28.40
2009-04-07,29.74,29.98,29.03,29.22,3296800,27.89
2009-04-06,30.82,31.05,29.80,30.37,5116700,28.99
2009-04-03,29.85,31.87,29.81,31.50,6272600,30.07
2009-04-02,30.26,31.10,29.74,29.93,5656800,28.57
2009-04-01,28.05,28.96,27.35,28.73,5385400,27.43
2009-03-31,30.22,30.22,28.41,28.55,6212900,27.26
2009-03-30,30.36,30.78,29.22,29.59,5102500,28.25
2009-03-27,32.07,32.25,30.87,31.31,4916600,29.89
2009-03-26,33.09,34.11,32.47,32.78,6877800,31.29
2009-03-25,33.33,33.98,31.46,32.73,5766700,31.25
2009-03-24,33.64,34.21,32.83,33.47,4541500,31.95
2009-03-23,32.00,34.30,31.61,34.30,5543700,32.74
2009-03-20,33.26,33.59,30.93,31.03,5856300,29.62
2009-03-19,33.00,34.31,32.40,33.26,7088200,31.75
2009-03-18,30.48,32.32,29.60,31.78,5412100,30.34
2009-03-17,30.24,31.06,29.36,30.79,4876800,29.39
2009-03-16,29.46,31.22,28.53,30.11,4935900,28.74
2009-03-13,29.44,29.90,28.72,29.33,4711100,28.00
2009-03-12,28.69,29.99,28.08,29.82,5274000,28.47
2009-03-11,29.12,29.60,28.10,28.71,4304900,27.41
2009-03-10,27.70,29.66,27.62,29.26,5729600,27.93
2009-03-09,26.13,28.37,25.97,27.17,5811800,25.94
2009-03-06,27.37,27.62,25.69,26.58,8261100,25.37
2009-03-05,27.76,28.33,26.75,27.03,6283900,25.80
2009-03-04,28.36,29.39,28.00,28.58,6713100,27.28
2009-03-03,27.38,28.17,26.74,27.06,6279100,25.83
2009-03-02,28.50,29.10,26.63,26.80,7141600,25.58
2009-02-27,28.69,30.36,28.35,29.31,7648500,27.98
2009-02-26,29.51,30.60,29.51,29.57,8808100,28.23
2009-02-25,30.20,30.52,28.73,29.13,9317400,27.81
2009-02-24,28.59,30.54,28.40,30.36,6616800,28.98
2009-02-23,29.87,30.85,28.20,28.31,6392500,27.03
2009-02-20,30.76,31.50,29.13,30.15,7315000,28.78
2009-02-19,31.97,32.53,31.37,31.54,5739400,30.11
2009-02-18,31.37,31.61,30.07,31.20,5404600,29.79
2009-02-17,32.24,32.38,30.45,30.64,6015900,29.25
2009-02-13,33.32,34.10,32.67,33.26,5644300,31.75
2009-02-12,33.72,34.00,32.27,33.23,6444300,31.72
2009-02-11,34.99,35.49,33.11,34.27,3820400,32.72
2009-02-10,35.99,36.76,34.08,34.53,6537800,32.96
2009-02-09,36.53,37.55,35.38,35.93,4585300,34.30
2009-02-06,34.92,36.90,34.90,36.44,3876800,34.79
2009-02-05,34.09,35.82,33.19,35.61,4650800,34.00
2009-02-04,33.59,35.27,33.59,34.38,4130300,32.82
2009-02-03,32.96,33.72,32.33,33.28,4279400,31.77
2009-02-02,32.70,33.54,32.20,32.75,4531400,31.26
2009-01-30,35.47,35.54,33.06,33.32,5049800,31.81
2009-01-29,34.71,35.51,34.08,34.48,5226100,32.92
2009-01-28,34.35,36.25,33.50,35.51,7602200,33.76
2009-01-27,32.55,33.49,31.40,32.77,5196000,31.15
2009-01-26,32.83,34.74,31.97,32.51,5648500,30.90
2009-01-23,29.68,32.64,29.25,32.19,7278300,30.60
2009-01-22,31.18,31.79,29.96,30.60,4046300,29.09
2009-01-21,29.46,31.93,29.44,31.74,6195300,30.17
2009-01-20,30.50,31.88,28.95,29.18,5169800,27.74
2009-01-16,33.30,33.30,31.09,31.88,4581900,30.31
2009-01-15,31.62,32.71,30.62,32.46,4441500,30.86
2009-01-14,32.55,33.40,31.19,31.70,4526500,30.13
