Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,81.92,84.36,81.29,83.86,1390700,83.86
2009-12-23,79.79,82.00,79.15,81.56,1911100,81.56
2009-12-22,78.85,79.88,78.45,79.81,1366800,79.81
2009-12-21,76.99,79.46,76.78,78.68,1691600,78.68
2009-12-18,76.59,76.99,74.80,76.27,2396900,76.27
2009-12-17,75.30,76.15,75.00,75.91,1724900,75.91
2009-12-16,76.55,77.29,75.42,75.73,1605100,75.73
2009-12-15,75.39,76.00,74.74,75.14,1466100,75.14
2009-12-14,75.19,75.99,73.60,75.99,1479000,75.99
2009-12-11,73.56,75.17,73.23,74.32,1401300,74.32
2009-12-10,71.57,74.33,71.57,73.35,1676300,73.35
2009-12-09,71.11,72.56,70.07,71.32,1320600,71.32
2009-12-08,72.10,72.57,70.45,70.99,1595400,70.99
2009-12-07,72.92,73.61,72.18,72.61,1379300,72.61
2009-12-04,73.77,74.50,71.31,72.71,1510400,72.71
2009-12-03,73.62,74.92,71.94,72.21,1449900,72.21
2009-12-02,73.45,75.47,72.63,73.61,1201900,73.61
2009-12-01,71.75,74.00,71.52,72.95,1293900,72.95
2009-11-30,71.55,71.79,69.90,70.95,1440200,70.95
2009-11-27,70.26,73.30,69.65,71.94,1202300,71.94
2009-11-25,72.00,72.70,70.10,72.46,1923100,72.46
2009-11-24,71.72,72.17,70.51,71.06,2223600,71.06
2009-11-23,73.16,73.41,71.43,71.66,1312600,71.66
2009-11-20,72.87,74.23,72.19,72.64,1667400,72.64
2009-11-19,77.50,77.70,72.01,72.95,3214700,72.95
2009-11-18,75.94,77.88,75.11,75.77,1965300,75.77
2009-11-17,77.44,78.76,75.04,76.32,2078600,76.32
2009-11-16,74.91,79.75,74.26,77.60,2295800,77.60
2009-11-13,70.40,75.00,70.00,74.54,1731600,74.54
2009-11-12,70.14,71.99,69.71,69.86,1213400,69.86
2009-11-11,71.05,71.42,69.33,69.83,1170600,69.83
2009-11-10,70.15,71.37,69.99,71.00,1140600,71.00
2009-11-09,69.62,70.78,68.05,70.51,1423800,70.51
2009-11-06,66.78,69.22,65.82,67.65,1068000,67.65
2009-11-05,67.20,67.43,65.71,66.89,2061100,66.89
2009-11-04,68.17,69.36,66.45,68.12,1126300,68.12
2009-11-03,66.51,68.35,66.31,68.09,1417700,68.09
2009-11-02,68.15,69.36,65.79,67.13,1332200,67.13
2009-10-30,70.41,71.48,67.45,67.86,1292600,67.86
2009-10-29,69.21,71.48,68.54,70.66,1205700,70.66
2009-10-28,71.02,71.50,68.02,68.36,1190400,68.36
2009-10-27,73.04,74.27,70.52,70.93,1072800,70.93
2009-10-26,72.68,75.13,72.33,72.79,1102800,72.79
2009-10-23,73.84,75.00,71.74,72.78,1209100,72.78
2009-10-22,70.23,74.86,70.09,73.93,1551300,73.93
2009-10-21,70.66,73.91,69.87,70.19,1515100,70.19
2009-10-20,70.66,71.92,69.48,70.52,1257800,70.52
2009-10-19,70.53,72.34,69.25,72.24,1082200,72.24
2009-10-16,71.31,72.40,69.19,70.08,1454200,70.08
2009-10-15,71.88,73.66,70.73,71.41,1219400,71.41
2009-10-14,70.26,72.71,69.75,72.42,1153900,72.42
2009-10-13,69.01,70.48,69.01,69.72,891800,69.72
2009-10-12,68.41,70.36,68.24,69.11,863700,69.11
2009-10-09,67.33,68.39,66.97,68.00,794700,68.00
2009-10-08,67.95,69.28,67.57,67.82,1047500,67.82
2009-10-07,66.03,68.20,66.03,67.27,779700,67.27
2009-10-06,64.83,67.50,64.79,65.89,1127300,65.89
2009-10-05,62.81,64.85,62.78,64.51,924200,64.51
2009-10-02,62.63,63.51,61.63,62.59,776700,62.59
2009-10-01,64.89,65.55,62.94,62.98,1019200,62.98
2009-09-30,66.53,66.83,64.35,65.31,972700,65.31
2009-09-29,66.18,66.89,64.64,65.80,893200,65.80
2009-09-28,65.62,66.75,65.14,66.29,700300,66.29
2009-09-25,65.61,66.75,64.89,65.05,924300,65.05
2009-09-24,66.99,67.18,65.58,65.75,890900,65.75
2009-09-23,67.83,68.19,66.09,66.24,851700,66.24
2009-09-22,69.78,70.91,67.37,67.68,1005400,67.68
2009-09-21,67.81,71.51,67.20,69.58,1287400,69.58
2009-09-18,66.11,69.58,65.89,68.09,2424700,68.09
2009-09-17,66.81,68.30,65.82,65.99,1295800,65.99
2009-09-16,65.15,66.38,64.40,66.18,855700,66.18
2009-09-15,64.49,65.93,64.19,64.99,721500,64.99
2009-09-14,63.61,64.69,63.00,64.68,529900,64.68
2009-09-11,63.79,64.36,62.91,64.18,1175600,64.18
2009-09-10,65.01,65.97,63.72,63.84,1164300,63.84
2009-09-09,62.48,65.96,61.70,64.73,1954000,64.73
2009-09-08,62.79,63.88,61.92,62.61,941300,62.61
