Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,58.19,58.35,58.04,58.12,684800,53.17
2009-12-23,58.39,58.73,57.85,58.00,2667100,53.06
2009-12-22,58.82,59.07,58.44,58.58,3125400,53.59
2009-12-21,58.10,58.68,58.10,58.62,3192700,53.63
2009-12-18,58.53,58.73,57.68,57.98,5633600,53.04
2009-12-17,58.22,58.48,57.47,58.23,4150800,53.27
2009-12-16,59.36,59.75,58.87,59.00,4451300,53.97
2009-12-15,58.87,59.66,58.72,59.25,4683300,54.20
2009-12-14,58.47,59.00,58.23,58.99,3614900,53.96
2009-12-11,57.86,58.73,57.66,58.01,4969800,53.07
2009-12-10,58.09,58.43,57.25,57.63,4972000,52.72
2009-12-09,58.02,58.18,57.40,57.76,4119700,52.84
2009-12-08,58.66,58.66,57.46,57.74,6394000,52.82
2009-12-07,57.97,57.97,57.60,57.87,4357500,52.94
2009-12-04,58.29,58.50,57.34,57.87,4978700,52.94
2009-12-03,57.89,58.14,57.51,57.57,5309200,52.67
2009-12-02,57.92,58.25,57.67,57.90,4060600,52.97
2009-12-01,57.90,58.16,57.69,57.88,3998700,52.95
2009-11-30,57.25,57.97,57.00,57.47,4321400,52.57
2009-11-27,57.13,57.73,56.51,57.43,2082700,52.54
2009-11-25,58.02,58.45,57.94,58.20,3004700,53.24
2009-11-24,58.20,58.42,57.68,57.92,3624300,52.99
2009-11-23,57.99,58.80,57.82,58.16,4056800,53.21
2009-11-20,56.83,57.64,56.83,57.51,4227500,52.61
2009-11-19,56.98,57.27,56.50,57.16,3981200,52.29
2009-11-18,57.01,57.47,56.59,57.37,4308600,52.48
2009-11-17,57.46,57.63,56.90,57.07,3745900,52.21
2009-11-16,57.06,58.23,57.00,57.74,4234200,52.82
2009-11-13,57.02,57.04,56.55,56.69,4447300,51.86
2009-11-12,57.99,57.99,56.58,56.83,5330900,51.99
2009-11-11,57.22,58.48,57.01,58.07,6085800,52.71
2009-11-10,56.13,57.08,56.01,56.85,5075400,51.60
2009-11-09,55.10,56.32,55.00,56.20,5100600,51.01
2009-11-06,54.39,55.03,54.05,54.86,3276200,49.80
2009-11-05,53.65,54.55,53.64,54.46,2954300,49.43
2009-11-04,54.64,55.02,53.47,53.50,4113800,48.56
2009-11-03,54.06,54.56,53.86,54.20,4269200,49.20
2009-11-02,53.77,54.18,53.17,54.01,4203400,49.03
2009-10-30,54.61,54.89,53.60,53.68,5477300,48.73
2009-10-29,54.61,55.17,54.31,54.94,3260600,49.87
2009-10-28,54.40,55.08,54.24,54.37,4765700,49.35
2009-10-27,54.60,54.79,54.00,54.50,5855800,49.47
2009-10-26,55.67,56.38,54.26,54.52,8866100,49.49
2009-10-23,57.09,57.09,55.31,55.70,6065400,50.56
