Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,53.25,53.28,52.81,53.13,426500,49.33
2009-12-23,52.47,53.34,52.29,52.95,3176900,49.16
2009-12-22,51.19,52.52,51.13,52.40,2497800,48.65
2009-12-21,51.01,51.28,50.78,51.14,2307400,47.48
2009-12-18,51.29,51.34,50.32,50.73,1361500,47.10
2009-12-17,51.80,51.80,50.74,50.86,2453000,47.22
2009-12-16,50.12,52.62,50.12,52.14,4620700,48.41
2009-12-15,49.36,50.29,49.33,50.15,1410300,46.56
2009-12-14,49.75,49.81,49.41,49.67,907300,46.12
2009-12-11,49.72,49.80,48.74,49.43,1597500,45.90
2009-12-10,49.62,49.87,49.30,49.61,1267600,46.06
2009-12-09,48.92,49.42,48.63,49.32,1454300,45.79
2009-12-08,48.55,49.31,47.99,49.02,2121600,45.51
2009-12-07,49.36,49.43,48.59,48.79,1463200,45.30
2009-12-04,49.28,49.99,48.88,49.47,991600,45.93
2009-12-03,49.68,50.16,48.60,48.64,806600,45.16
2009-12-02,48.83,50.19,48.74,49.75,1242400,46.19
2009-12-01,48.94,50.06,48.92,49.07,1310100,45.25
2009-11-30,48.66,48.78,48.12,48.57,1170200,44.79
2009-11-27,48.62,49.25,48.50,48.73,635600,44.94
2009-11-25,49.72,50.02,49.33,50.00,802800,46.11
2009-11-24,49.83,49.88,49.29,49.72,727500,45.85
2009-11-23,49.67,50.26,49.39,49.73,1028200,45.86
2009-11-20,49.07,49.41,48.55,48.95,1354700,45.14
2009-11-19,49.52,49.58,48.62,49.27,1950400,45.44
2009-11-18,50.36,50.36,49.70,49.84,1075300,45.96
2009-11-17,51.11,51.11,50.28,50.44,993800,46.52
2009-11-16,50.51,51.19,50.47,51.19,985400,47.21
2009-11-13,49.87,50.51,49.68,50.28,1163800,46.37
2009-11-12,50.17,50.32,49.53,49.81,1477400,45.94
2009-11-11,49.98,51.20,49.69,50.28,2060700,46.37
2009-11-10,50.17,50.60,49.59,50.17,1775900,46.27
2009-11-09,49.59,50.27,49.20,50.17,1929400,46.27
2009-11-06,49.58,49.75,48.70,49.19,1600600,45.37
2009-11-05,48.69,49.67,48.55,49.62,3073900,45.76
2009-11-04,49.48,49.49,48.37,48.45,5834300,44.68
2009-11-03,47.55,49.70,46.59,49.69,17520500,45.83
2009-11-02,45.32,45.82,44.60,45.15,1428800,41.64
2009-10-30,45.57,45.84,44.85,45.23,1685800,41.71
2009-10-29,45.52,46.25,45.52,45.70,1227900,42.15
2009-10-28,46.13,46.26,45.01,45.29,1478500,41.77
2009-10-27,46.84,46.94,45.79,46.07,1224600,42.49
2009-10-26,47.24,47.63,46.33,46.64,1625500,43.01
2009-10-23,48.02,48.62,47.05,47.31,1090600,43.63
2009-10-22,47.25,48.31,47.09,47.91,904900,44.18
2009-10-21,47.30,47.85,46.70,47.25,1442700,43.58
2009-10-20,46.60,46.75,45.87,46.34,1025100,42.74
2009-10-19,45.93,46.56,45.60,46.44,699100,42.83
2009-10-16,45.46,45.77,44.97,45.75,711400,42.19
2009-10-15,45.96,46.00,45.54,45.84,625300,42.28
2009-10-14,45.67,46.13,45.52,46.00,1025000,42.42
2009-10-13,44.93,45.38,44.55,45.31,780400,41.79
2009-10-12,44.99,45.58,44.77,44.88,869900,41.39
2009-10-09,43.74,44.56,43.74,44.50,566500,41.04
2009-10-08,42.75,44.28,42.75,43.94,1020600,40.52
2009-10-07,42.72,42.77,41.99,42.33,559200,39.04
2009-10-06,42.49,43.19,42.40,42.72,671900,39.40
2009-10-05,41.13,42.29,40.97,42.09,1052000,38.82
2009-10-02,41.38,41.53,40.90,40.97,802400,37.78
2009-10-01,42.59,42.74,41.71,41.87,976200,38.61
2009-09-30,42.44,43.35,41.74,42.69,748300,39.37
2009-09-29,42.05,42.74,41.96,42.48,768700,39.18
2009-09-28,41.45,42.03,41.19,42.01,617700,38.74
2009-09-25,42.26,42.41,41.15,41.17,846600,37.97
2009-09-24,42.66,42.95,41.82,42.30,1016800,39.01
