Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,36.71,36.90,36.52,36.76,438100,34.42
2009-12-23,36.74,36.81,36.42,36.64,1611300,34.31
2009-12-22,36.65,37.01,36.43,36.68,2224100,34.34
2009-12-21,36.11,36.49,36.06,36.43,1551500,34.11
2009-12-18,35.61,36.07,35.45,36.04,5423300,33.74
2009-12-17,35.15,35.61,34.72,35.44,2612300,33.18
2009-12-16,35.72,35.99,35.08,35.31,3380200,33.06
2009-12-15,36.23,36.38,35.57,35.66,2486200,33.39
2009-12-14,36.80,36.80,36.23,36.51,1505600,34.18
2009-12-11,36.74,36.74,35.97,36.15,1711100,33.85
2009-12-10,36.60,36.83,36.34,36.38,3230700,34.06
2009-12-09,35.74,36.55,35.33,36.46,2938800,34.14
2009-12-08,35.60,36.23,35.06,35.88,2965400,33.59
2009-12-07,36.41,36.72,35.74,35.97,2011100,33.68
2009-12-04,37.29,37.29,35.84,36.40,3402300,34.08
2009-12-03,36.99,37.10,36.16,36.24,4108800,33.93
2009-12-02,37.34,37.99,36.83,36.99,3587300,34.63
2009-12-01,37.36,38.50,37.23,38.06,2828900,35.64
2009-11-30,36.63,37.30,36.48,37.08,2343700,34.72
2009-11-27,37.12,37.63,36.53,37.21,1218400,34.84
2009-11-25,38.51,38.53,38.07,38.21,2421300,35.78
2009-11-24,39.02,39.18,37.93,38.38,2027600,35.94
2009-11-23,38.89,39.70,38.72,38.94,1754000,36.46
2009-11-20,38.87,39.39,38.04,38.49,2552300,36.04
2009-11-19,39.00,39.30,38.46,38.87,1861400,36.39
2009-11-18,39.24,39.86,39.00,39.46,2033500,36.95
2009-11-17,39.54,39.54,38.93,39.38,1915900,36.87
2009-11-16,38.95,39.92,38.92,39.68,1909400,37.07
2009-11-13,38.48,39.21,38.48,38.96,1487300,36.40
2009-11-12,39.10,39.55,38.43,38.50,2656100,35.97
2009-11-11,39.93,40.14,38.95,39.19,2611800,36.61
2009-11-10,39.11,39.85,38.83,39.49,1650200,36.89
2009-11-09,39.02,39.60,38.77,39.44,2768900,36.84
2009-11-06,38.86,39.22,38.28,38.68,2166700,36.13
2009-11-05,37.54,39.08,37.54,38.97,2510000,36.41
2009-11-04,38.29,38.70,37.42,37.50,4592000,35.03
2009-11-03,37.49,38.11,37.13,37.78,3360300,35.29
2009-11-02,37.56,37.94,36.56,37.35,3102500,34.89
2009-10-30,38.06,38.50,36.57,37.41,4639400,34.95
2009-10-29,37.73,38.61,37.18,38.25,3873000,35.73
2009-10-28,37.61,38.16,36.89,36.98,4443100,34.55
2009-10-27,38.54,38.89,36.63,37.63,6061700,35.15
2009-10-26,39.06,40.05,38.55,39.25,3287300,36.67
2009-10-23,39.10,39.55,38.86,39.06,3178700,36.49
2009-10-22,39.17,39.41,38.56,39.13,4045600,36.55
