Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,91.57,92.29,90.69,92.22,389500,92.22
2012-12-21,92.85,93.19,91.84,91.95,2021600,91.95
2012-12-20,92.67,93.37,92.25,93.09,1252800,93.09
2012-12-19,93.51,94.21,92.58,92.58,1501700,92.58
2012-12-18,93.39,93.62,92.84,93.35,1455200,93.35
2012-12-17,91.71,93.28,91.62,93.27,1865200,93.27
2012-12-14,92.12,92.41,91.41,91.61,1102300,91.61
2012-12-13,93.33,93.81,92.50,92.57,834300,92.57
2012-12-12,93.65,94.48,93.19,93.34,1341200,93.34
2012-12-11,92.41,93.90,92.30,93.50,1227000,93.50
2012-12-10,92.25,92.25,91.51,92.02,962500,92.02
2012-12-07,91.99,92.00,91.16,91.79,924100,91.79
2012-12-06,92.25,92.40,91.43,91.73,1064400,91.73
2012-12-05,91.90,92.79,91.62,92.37,1244000,92.37
2012-12-04,92.01,92.93,91.43,91.81,1246500,91.81
2012-12-03,92.97,93.36,91.89,92.02,1385800,92.02
2012-11-30,92.66,93.21,92.27,92.75,1570400,92.75
2012-11-29,92.23,92.66,92.07,92.33,1326400,92.33
2012-11-28,90.89,91.90,90.42,91.84,1152200,91.84
2012-11-27,90.93,92.46,90.84,91.49,1197700,91.49
2012-11-26,91.30,91.68,90.80,91.67,874500,91.67
2012-11-23,91.39,92.00,90.69,91.99,277500,91.99
2012-11-21,91.35,91.39,90.75,90.92,1082700,90.92
2012-11-20,90.67,91.30,90.07,91.15,1213900,91.15
2012-11-19,89.44,90.98,89.03,90.98,1190400,90.98
2012-11-16,87.73,89.32,87.50,88.71,1826700,88.66
2012-11-15,89.12,89.19,87.66,87.95,1555900,87.90
2012-11-14,90.04,90.15,88.95,89.17,1052400,89.12
2012-11-13,90.15,90.93,89.76,89.77,871600,89.72
2012-11-12,90.53,91.00,89.93,90.56,937400,90.51
2012-11-09,89.72,91.00,89.39,90.44,1243700,90.39
2012-11-08,90.83,91.13,89.51,89.67,950600,89.62
2012-11-07,91.67,91.77,89.86,90.72,1285600,90.67
2012-11-06,91.47,92.50,91.38,92.22,1176900,92.17
2012-11-05,91.11,91.66,90.66,91.44,1040400,91.39
2012-11-02,91.90,92.48,91.41,91.51,2033200,91.46
2012-11-01,89.22,91.90,88.72,90.78,2313300,90.73
2012-10-31,91.41,91.41,86.51,89.92,4530300,89.87
2012-10-26,91.30,92.03,90.65,91.64,1547300,91.59
2012-10-25,91.17,91.78,90.63,91.26,905400,91.21
2012-10-24,91.16,91.40,90.46,90.56,1312300,90.51
2012-10-23,91.08,91.18,90.05,90.85,1521900,90.80
2012-10-22,92.11,92.26,90.67,91.95,2827000,91.90
2012-10-19,94.36,94.61,92.14,92.21,3230300,92.16
2012-10-18,94.88,95.39,94.28,94.85,2428500,94.80
2012-10-17,94.51,95.44,94.17,95.26,1588000,95.21
2012-10-16,93.59,94.44,93.59,94.13,814000,94.08
2012-10-15,92.51,93.61,92.42,93.54,1232400,93.49
2012-10-12,92.75,93.12,91.55,92.26,1304800,92.21
2012-10-11,91.97,92.98,91.70,92.52,1784500,92.47
2012-10-10,92.22,92.34,91.29,91.69,1087000,91.64
2012-10-09,93.21,93.46,91.86,92.11,1298800,92.06
2012-10-08,93.28,93.52,92.69,93.30,1044100,93.25
2012-10-05,94.20,94.36,93.43,93.63,1511200,93.58
2012-10-04,93.50,93.99,93.32,93.71,1529600,93.66
2012-10-03,93.00,93.79,92.38,93.31,1428500,93.26
2012-10-02,92.68,92.93,91.75,92.82,1405800,92.77
2012-10-01,92.38,93.99,92.34,92.63,2175100,92.58
2012-09-28,91.83,92.04,91.12,91.58,1404500,91.53
2012-09-27,91.92,92.48,91.35,92.11,2065000,92.06
2012-09-26,91.52,92.42,91.26,91.88,2645300,91.83
2012-09-25,92.10,92.23,91.07,91.23,1684300,91.18
2012-09-24,91.75,92.10,90.84,91.75,1658300,91.70
2012-09-21,90.93,91.83,90.51,91.50,2662600,91.45
2012-09-20,88.98,90.51,88.78,90.30,2184600,90.25
2012-09-19,89.73,89.99,88.72,89.12,1303800,89.07
2012-09-18,89.16,90.51,88.98,89.84,1994000,89.79
2012-09-17,88.96,89.71,88.69,88.85,1661600,88.80
2012-09-14,89.32,89.52,88.54,89.15,1746700,89.10
2012-09-13,89.62,89.96,88.61,89.31,2590600,89.26
2012-09-12,89.69,90.15,89.41,89.64,1350000,89.59
2012-09-11,88.99,89.86,88.81,89.30,1896900,89.25
2012-09-10,89.09,89.41,88.53,89.05,1482100,89.00
2012-09-07,89.22,89.78,88.64,88.95,1377200,88.90
2012-09-06,86.40,89.00,86.40,88.98,2664700,88.93
2012-09-05,86.22,86.51,85.73,85.90,1319000,85.85
2012-09-04,86.21,86.75,85.56,86.38,1526500,86.33
2012-08-31,86.01,86.50,85.43,86.13,1650000,86.08
2012-08-30,84.63,85.98,84.59,85.70,1461400,85.65
2012-08-29,85.05,85.93,84.55,85.13,1619600,85.08
2012-08-28,85.12,85.12,84.50,84.56,1814200,84.51
2012-08-27,85.43,85.57,84.64,85.41,1320100,85.36
2012-08-24,84.48,85.86,84.42,85.25,1857700,85.20
2012-08-23,85.44,85.50,84.43,84.84,1444200,84.79
2012-08-22,86.26,86.83,85.05,85.43,2433700,85.38
2012-08-21,86.00,87.28,85.87,86.57,2132500,86.52
2012-08-20,86.66,86.66,85.34,85.65,1764700,85.55
2012-08-17,87.27,87.62,86.42,86.61,1365500,86.51
2012-08-16,86.11,86.83,85.61,86.49,1405500,86.39
2012-08-15,86.35,86.78,85.81,86.35,1260500,86.25
2012-08-14,85.70,86.38,85.52,86.37,1407300,86.27
2012-08-13,85.34,85.92,85.10,85.59,1045300,85.49
2012-08-10,85.25,86.03,85.03,85.61,1335100,85.51
2012-08-09,85.28,86.06,84.98,85.49,1119500,85.39
2012-08-08,85.23,86.26,84.99,85.57,1746800,85.47
2012-08-07,85.51,85.88,85.02,85.23,1907700,85.13
2012-08-06,85.45,85.75,84.97,85.41,1625200,85.31
2012-08-03,85.98,86.77,85.14,85.45,2984200,85.35
2012-08-02,84.69,86.57,83.88,84.89,2691200,84.79
2012-08-01,84.85,91.94,82.81,85.62,9048100,85.52
2012-07-31,85.15,85.57,81.28,82.07,6722600,81.98
2012-07-30,86.04,86.33,85.20,85.30,2323200,85.20
2012-07-27,85.34,87.20,85.34,86.25,2063300,86.15
2012-07-26,84.72,85.60,84.47,85.13,2057900,85.03
2012-07-25,84.26,84.42,83.09,83.44,2240600,83.34
2012-07-24,84.85,84.91,83.60,83.87,2564100,83.77
2012-07-23,84.31,85.11,83.62,84.78,2389100,84.68
2012-07-20,86.72,86.86,85.06,85.15,3010600,85.05
2012-07-19,87.59,87.70,86.20,87.46,5288500,87.36
2012-07-18,89.55,89.79,86.36,87.52,4446700,87.42
2012-07-17,89.95,90.34,89.13,89.95,1036800,89.85
2012-07-16,90.39,90.68,89.51,89.59,1040500,89.49
2012-07-13,89.23,91.01,88.91,90.75,1361300,90.65
2012-07-12,89.55,89.70,88.05,89.40,1988500,89.30
2012-07-11,90.42,90.80,89.34,89.43,2502900,89.33
2012-07-10,92.69,92.80,90.32,90.60,1474400,90.50
2012-07-09,93.56,93.78,91.22,91.81,2223500,91.70
2012-07-06,93.85,94.32,93.34,93.70,771300,93.59
2012-07-05,95.25,95.45,94.61,94.64,1158200,94.53
2012-07-03,94.98,95.75,94.37,95.65,835000,95.54
2012-07-02,92.53,94.94,92.42,94.77,1944500,94.66
2012-06-29,91.00,92.57,91.00,92.57,1716400,92.46
2012-06-28,90.73,90.74,88.88,90.03,1980600,89.93
2012-06-27,90.86,91.75,90.35,91.11,1324100,91.01
2012-06-26,89.99,90.54,89.83,90.02,1440400,89.92
2012-06-25,90.97,91.28,89.85,89.86,1434200,89.76
2012-06-22,91.46,91.79,90.97,91.59,1705200,91.48
2012-06-21,92.91,93.19,91.04,91.24,1088300,91.14
