Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,97.75,97.93,96.38,96.60,829200,96.60
2012-12-24,97.76,98.14,97.18,97.59,467900,97.59
2012-12-21,98.23,99.00,96.77,98.00,1763600,98.00
2012-12-20,98.06,99.11,97.93,99.08,1110200,99.08
2012-12-19,99.56,99.58,97.97,97.97,1549000,97.97
2012-12-18,98.94,100.00,98.65,99.62,2216700,99.62
2012-12-17,98.30,98.70,97.79,98.63,1127500,98.63
2012-12-14,97.30,98.28,97.30,98.25,1472000,98.25
2012-12-13,97.38,98.01,97.01,97.83,1189800,97.83
2012-12-12,97.49,98.00,97.07,97.30,1540700,97.30
2012-12-11,95.74,97.58,95.74,97.43,1186800,97.43
2012-12-10,95.00,96.04,95.00,95.66,840800,95.66
2012-12-07,94.99,95.56,94.55,95.30,946800,95.30
2012-12-06,94.38,94.79,94.10,94.74,791800,94.74
2012-12-05,94.17,94.58,92.86,94.32,1503300,94.32
2012-12-04,94.50,95.21,93.97,94.48,1195000,94.48
2012-12-03,94.50,95.37,94.45,94.58,1080200,94.58
2012-11-30,93.64,94.90,93.52,94.47,1461600,94.47
2012-11-29,93.20,94.07,93.08,93.72,990000,93.72
2012-11-28,92.69,93.34,91.84,92.96,1550300,92.76
2012-11-27,93.43,93.73,92.33,92.75,1701100,92.55
2012-11-26,93.76,93.81,93.05,93.56,1403200,93.36
2012-11-23,93.65,94.11,93.07,94.11,256100,93.91
2012-11-21,93.39,93.76,93.00,93.27,839900,93.07
2012-11-20,92.57,93.89,92.51,93.49,1276900,93.29
2012-11-19,92.53,92.96,92.40,92.71,1197000,92.51
2012-11-16,91.41,92.34,90.60,92.06,1990900,91.86
2012-11-15,92.26,92.81,91.02,91.31,1365200,91.11
2012-11-14,93.35,93.54,91.75,92.27,1167100,92.07
2012-11-13,92.41,93.99,92.38,93.24,1193800,93.04
2012-11-12,93.16,93.37,92.44,92.70,661900,92.50
2012-11-09,92.51,93.84,92.48,92.94,1282000,92.74
2012-11-08,94.22,94.50,92.55,92.56,1451900,92.36
2012-11-07,93.00,95.00,92.61,94.69,1770700,94.49
2012-11-06,93.27,94.10,92.53,93.48,935000,93.28
2012-11-05,92.98,93.61,92.75,93.31,875400,93.11
2012-11-02,94.77,96.08,93.12,93.30,1724200,93.10
2012-11-01,93.47,94.62,93.18,94.60,1400800,94.40
2012-10-31,93.00,93.64,92.00,93.31,1487800,93.11
2012-10-26,92.95,93.55,92.20,92.58,2009400,92.38
2012-10-25,92.00,94.51,92.00,93.16,3268200,92.96
2012-10-24,89.69,90.37,89.36,89.51,1186600,89.32
2012-10-23,89.97,90.24,89.43,89.60,1195900,89.41
2012-10-22,89.81,90.78,89.81,90.71,804500,90.51
2012-10-19,91.16,91.16,89.60,90.20,1567800,90.01
2012-10-18,91.25,91.53,90.96,91.34,654400,91.14
2012-10-17,92.20,92.62,91.12,91.26,1372000,91.06
2012-10-16,90.88,92.47,90.88,92.45,1502100,92.25
2012-10-15,89.42,91.05,89.26,90.88,1531500,90.68
2012-10-12,89.03,89.95,89.00,89.28,1270700,89.09
