Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,88.49,88.80,87.76,88.53,2573300,88.53
2013-01-04,88.59,89.28,88.42,88.98,3280500,88.98
2013-01-03,89.53,89.58,88.34,88.59,3871300,88.59
2013-01-02,87.36,89.24,87.29,89.15,5772800,89.15
2012-12-31,85.00,86.80,84.56,86.20,3896700,86.20
2012-12-28,85.60,86.14,85.17,85.24,2418700,85.24
2012-12-27,86.70,87.55,85.26,86.15,3122600,86.15
2012-12-26,87.30,87.52,86.10,86.89,2720400,86.89
2012-12-24,86.98,87.62,86.91,87.40,1596900,87.40
2012-12-21,87.97,87.97,86.34,87.16,7247000,87.16
2012-12-20,88.49,88.82,88.00,88.41,2887800,88.41
2012-12-19,89.51,89.58,88.37,88.49,4916500,88.49
2012-12-18,89.99,90.00,88.99,89.29,5514200,89.29
2012-12-17,89.25,89.64,89.03,89.50,3049800,89.50
2012-12-14,89.05,90.13,88.91,89.20,3398500,89.20
2012-12-13,90.06,90.35,88.70,89.15,2713300,89.15
2012-12-12,90.00,90.81,89.70,90.17,3571700,90.17
2012-12-11,89.88,90.25,89.62,89.95,4286300,89.95
2012-12-10,87.96,89.81,87.73,89.74,4492600,89.74
2012-12-07,88.78,88.80,87.63,88.32,3526400,88.32
2012-12-06,89.05,89.14,88.20,88.54,3975500,88.54
2012-12-05,88.55,89.42,87.77,89.01,3425400,89.01
2012-12-04,88.66,88.86,88.12,88.33,2745500,88.33
2012-12-03,88.92,89.59,88.11,88.40,3712100,88.40
2012-11-30,88.88,89.08,88.45,88.80,4408000,88.80
2012-11-29,87.45,88.87,87.17,88.61,4391500,88.61
2012-11-28,86.77,87.22,85.46,87.04,4704900,87.04
2012-11-27,87.40,87.53,86.88,86.98,3568700,86.98
2012-11-26,87.19,87.40,86.72,87.29,4925300,87.29
2012-11-23,87.00,87.64,86.55,87.60,2267200,87.60
2012-11-21,86.62,86.82,86.05,86.65,2624000,86.65
2012-11-20,85.22,86.57,85.10,86.57,4215200,86.57
2012-11-19,85.48,85.67,84.60,85.40,3796400,85.40
2012-11-16,84.28,84.99,83.45,84.54,6370800,84.54
2012-11-15,83.86,84.34,82.92,84.15,3569700,84.15
2012-11-14,85.71,85.96,83.68,84.02,4280800,84.02
2012-11-13,84.97,86.11,84.68,85.77,4890100,85.77
2012-11-12,85.38,86.14,84.76,85.52,3207800,85.16
2012-11-09,84.32,85.81,84.26,85.17,4030600,84.81
2012-11-08,85.06,85.52,84.58,84.74,4603100,84.38
2012-11-07,86.75,86.90,84.16,85.34,7163900,84.98
2012-11-06,86.81,87.89,86.55,87.29,3586100,86.92
2012-11-05,86.22,87.83,85.26,86.35,5033300,85.99
2012-11-02,87.36,87.63,86.26,86.45,3238100,86.09
2012-11-01,86.97,87.85,86.48,87.21,4154100,86.84
2012-10-31,87.71,88.20,86.18,86.49,3800400,86.13
2012-10-26,87.53,88.16,87.16,87.63,4187900,87.26
2012-10-25,88.06,88.49,87.75,88.05,5483100,87.68
2012-10-24,88.53,89.14,87.48,87.50,6540500,87.13
2012-10-23,87.18,88.10,86.12,87.32,4261200,86.95
2012-10-22,86.94,89.90,86.43,87.80,4656300,87.43
2012-10-19,89.82,89.82,86.70,87.16,5489600,86.79
2012-10-18,89.04,89.95,88.54,89.79,6010800,89.41
2012-10-17,87.99,89.64,87.74,89.20,4383200,88.82
2012-10-16,86.58,88.19,86.30,88.04,3567000,87.67
2012-10-15,84.50,86.38,84.25,86.22,3413800,85.86
2012-10-12,84.87,85.21,83.98,84.00,3150300,83.65
2012-10-11,85.22,85.54,84.61,84.61,2074500,84.25
2012-10-10,85.30,85.43,84.32,84.65,3141600,84.29
2012-10-09,85.69,86.04,85.15,85.43,3131900,85.07
2012-10-08,86.62,86.99,85.83,86.04,2107800,85.68
2012-10-05,86.85,87.32,86.64,86.94,3230800,86.57
2012-10-04,86.98,87.45,86.29,86.39,2787300,86.03
2012-10-03,86.14,86.83,86.14,86.80,4388700,86.43
2012-10-02,85.47,86.59,85.14,86.35,3758500,85.99
2012-10-01,84.50,85.34,84.36,85.08,4146000,84.72
2012-09-28,83.99,84.53,83.61,84.29,3629800,83.94
2012-09-27,83.54,84.56,83.07,84.24,3570800,83.89
2012-09-26,84.09,84.92,83.16,83.46,5420600,83.11
2012-09-25,83.01,84.76,82.99,83.81,6532100,83.46
2012-09-24,82.07,83.07,81.97,82.91,3261400,82.56
2012-09-21,82.47,82.79,81.50,82.03,6789200,81.68
2012-09-20,81.47,82.33,81.40,82.30,3979200,81.95
2012-09-19,82.23,82.34,81.53,81.71,3968200,81.37
