Date,Open,High,Low,Close,Volume,Adj Close
2011-03-18,103.37,103.97,102.36,102.80,11366300,97.13
2011-03-17,100.88,102.57,100.40,102.24,9981500,96.60
2011-03-16,101.65,102.07,98.63,99.51,14795200,94.02
2011-03-15,98.18,102.00,97.98,101.23,12650100,95.65
2011-03-14,99.16,101.00,99.03,100.80,7353600,95.24
2011-03-11,98.10,100.75,97.60,99.93,6872700,94.42
2011-03-10,101.48,101.48,98.29,99.08,12553000,93.62
2011-03-09,103.18,103.68,101.90,102.14,7102000,96.51
2011-03-08,103.41,104.04,101.45,103.77,8913900,98.05
2011-03-07,104.12,104.77,103.01,103.01,8222500,97.33
2011-03-04,104.13,104.78,102.50,103.75,9850500,98.03
2011-03-03,103.84,104.57,103.32,104.19,7537800,98.45
2011-03-02,103.05,103.97,102.19,103.47,8335000,97.77
2011-03-01,104.07,104.99,102.84,102.90,12266900,97.23
2011-02-28,102.28,103.94,102.18,103.75,10219700,98.03
2011-02-25,101.71,102.63,101.35,102.10,8516400,96.47
2011-02-24,103.09,103.42,101.55,102.03,16467900,96.40
2011-02-23,100.53,103.94,100.52,102.27,17174700,96.63
2011-02-22,99.23,102.12,99.23,100.32,15723400,94.79
2011-02-18,97.41,98.81,97.03,98.72,8860500,93.28
2011-02-17,96.56,97.34,96.41,97.17,6616600,91.81
2011-02-16,96.72,97.02,96.08,96.66,6786600,91.33
2011-02-15,96.58,96.85,95.66,96.34,7626700,91.03
2011-02-14,95.50,97.16,95.50,96.95,6994000,91.60
2011-02-11,96.09,97.18,95.89,96.45,7324900,90.45
2011-02-10,95.88,96.98,95.74,96.70,7286200,90.69
2011-02-09,97.25,97.38,95.70,96.24,8242700,90.26
2011-02-08,97.87,97.99,97.11,97.74,5710500,91.66
2011-02-07,97.28,98.23,97.26,97.66,10256500,91.59
2011-02-04,96.93,97.33,96.52,97.11,10529700,91.07
2011-02-03,96.57,97.44,95.76,97.31,10500300,91.26
2011-02-02,95.37,96.85,95.37,96.48,6607800,90.48
2011-02-01,95.63,96.49,95.17,96.22,9948200,90.24
2011-01-31,93.85,95.19,93.37,94.93,11167900,89.03
2011-01-28,94.49,94.85,92.93,93.37,12444700,87.56
2011-01-27,94.56,94.96,94.30,94.75,6301100,88.86
2011-01-26,94.38,94.97,93.58,94.64,8832600,88.75
2011-01-25,93.78,94.44,93.35,94.08,7423200,88.23
2011-01-24,93.89,94.53,93.66,94.10,7282800,88.25
2011-01-21,93.37,93.94,93.10,93.78,7427500,87.95
2011-01-20,92.14,92.86,91.58,92.71,6513500,86.94
2011-01-19,93.63,93.71,92.58,92.97,6069900,87.19
2011-01-18,92.94,93.75,92.93,93.35,7733200,87.54
2011-01-14,92.12,92.88,91.82,92.83,5557900,87.06
2011-01-13,92.01,92.60,91.78,92.18,5721900,86.45
2011-01-12,92.36,92.85,92.20,92.45,7845400,86.70
2011-01-11,90.87,91.99,90.81,91.83,7838900,86.12
2011-01-10,90.95,91.17,90.12,90.41,6848700,84.79
2011-01-07,90.98,91.30,90.27,91.19,6346300,85.52
2011-01-06,91.76,91.83,90.27,90.69,6220800,85.05
2011-01-05,90.92,92.07,90.50,91.44,6659500,85.75
2011-01-04,92.28,92.48,91.22,91.60,8513900,85.90
2011-01-03,91.66,92.38,91.30,91.94,7802300,86.22
2010-12-31,91.58,91.80,91.00,91.25,5152900,85.58
2010-12-30,91.32,91.94,91.15,91.60,4156500,85.90
2010-12-29,91.54,92.39,91.35,91.37,5301000,85.69
2010-12-28,90.32,91.43,90.13,91.19,5058100,85.52
2010-12-27,90.49,90.60,90.04,90.12,3138200,84.52
