Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,46.71,46.92,46.51,46.89,219200,46.89
2009-12-23,46.58,46.72,46.28,46.67,472000,46.67
2009-12-22,45.96,46.60,45.95,46.53,476700,46.53
2009-12-21,45.13,46.20,45.04,46.05,1081000,46.05
2009-12-18,44.78,44.98,44.30,44.98,942000,44.98
2009-12-17,45.21,45.29,44.69,44.69,628200,44.69
2009-12-16,46.00,46.10,45.45,45.52,666800,45.52
2009-12-15,46.08,46.30,45.85,46.00,634100,46.00
2009-12-14,46.11,46.65,45.98,46.28,745700,46.28
2009-12-11,46.32,46.46,45.80,46.00,528700,46.00
2009-12-10,45.70,46.40,45.70,46.07,627700,46.07
2009-12-09,45.55,45.55,45.09,45.55,796500,45.55
2009-12-08,45.71,45.71,44.95,45.53,1107400,45.53
2009-12-07,45.87,46.27,45.72,45.76,542200,45.76
2009-12-04,46.00,46.44,45.58,46.03,939100,46.03
2009-12-03,46.24,46.25,45.60,45.66,1043100,45.66
2009-12-02,47.15,47.46,45.80,46.01,2301600,46.01
2009-12-01,47.10,47.61,46.92,47.00,1262200,47.00
2009-11-30,46.97,47.61,46.64,46.74,1407500,46.74
2009-11-27,46.41,47.22,46.08,46.83,281900,46.83
2009-11-25,47.78,47.78,47.09,47.44,689100,47.44
2009-11-24,46.67,47.47,46.42,47.39,944800,47.39
2009-11-23,46.16,46.76,45.91,46.76,796000,46.76
2009-11-20,45.57,45.79,45.39,45.61,688200,45.61
2009-11-19,46.20,46.26,45.30,45.76,681500,45.76
2009-11-18,46.32,46.60,46.03,46.40,461700,46.40
2009-11-17,46.37,46.50,45.95,46.33,591500,46.33
2009-11-16,45.40,46.88,45.40,46.58,1129300,46.58
2009-11-13,45.23,45.58,44.90,45.22,737300,45.22
2009-11-12,45.20,45.52,44.88,45.03,646900,45.03
2009-11-11,45.15,45.39,44.92,45.31,589200,45.31
2009-11-10,44.79,45.04,44.68,44.99,821900,44.99
2009-11-09,43.71,44.86,43.71,44.60,939800,44.60
2009-11-06,43.43,43.91,43.16,43.49,606200,43.49
2009-11-05,43.13,43.72,42.86,43.72,647000,43.72
2009-11-04,42.81,43.37,42.60,42.71,1048800,42.71
2009-11-03,42.85,42.90,42.15,42.84,1432900,42.84
2009-11-02,43.51,43.88,42.16,43.18,2574800,43.18
2009-10-30,41.10,42.15,40.98,40.98,3021500,40.98
2009-10-29,41.63,42.24,41.41,42.22,1679100,42.22
2009-10-28,42.73,42.73,41.37,41.65,1379800,41.65
2009-10-27,42.19,43.56,42.19,42.87,2084200,42.87
2009-10-26,41.76,42.47,41.48,42.33,1610600,42.33
2009-10-23,41.96,41.96,41.30,41.63,840500,41.63
2009-10-22,40.90,41.96,40.80,41.87,1083100,41.87
2009-10-21,40.78,41.43,40.71,40.78,1068000,40.78
2009-10-20,41.39,41.70,40.64,40.87,807000,40.87
2009-10-19,41.30,41.55,41.21,41.39,695400,41.39
2009-10-16,41.41,41.57,41.07,41.36,625800,41.36
2009-10-15,41.14,41.54,40.92,41.48,956300,41.48
2009-10-14,40.63,41.30,40.45,41.14,1159500,41.14
2009-10-13,40.18,40.74,39.90,40.51,1502100,40.51
2009-10-12,40.18,40.43,39.90,40.22,734100,40.22
2009-10-09,39.65,40.21,39.60,40.09,1181000,40.09
2009-10-08,39.24,40.10,39.16,39.61,1121800,39.61
2009-10-07,39.46,39.81,38.96,39.14,1812600,39.14
2009-10-06,39.84,39.84,38.71,39.48,1914400,39.48
2009-10-05,39.86,40.06,39.76,39.83,940200,39.83
2009-10-02,40.05,40.27,39.62,40.01,1285800,40.01
2009-10-01,42.21,42.21,40.58,40.69,1262000,40.69
2009-09-30,42.07,42.47,41.67,42.13,850000,42.13
2009-09-29,42.75,42.75,41.98,42.06,629800,42.06
2009-09-28,41.84,42.87,41.61,42.74,767800,42.74
