Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,42.37,42.53,42.06,42.24,1295000,38.97
2009-12-23,42.08,42.60,41.75,42.34,10342200,39.06
2009-12-22,42.21,42.91,41.93,41.93,65855800,38.69
2009-12-21,41.83,43.10,41.54,42.20,7204200,38.94
2009-12-18,42.08,42.47,41.45,41.82,5070700,38.58
2009-12-17,42.06,42.33,41.52,41.72,3275400,38.49
2009-12-16,42.73,43.22,41.62,42.50,7730000,39.21
2009-12-15,43.00,44.31,42.82,43.32,4144800,39.97
2009-12-14,42.28,43.20,42.26,43.05,4133900,39.72
2009-12-11,41.99,42.10,41.29,41.67,2407600,38.45
2009-12-10,41.89,42.10,41.35,41.77,2384200,38.54
2009-12-09,40.96,41.89,40.51,41.39,3747600,38.19
2009-12-08,41.16,41.68,40.46,40.84,2968700,37.68
2009-12-07,41.76,42.97,41.52,41.89,2939100,38.65
2009-12-04,42.47,43.45,41.28,41.95,3258200,38.70
2009-12-03,43.34,43.38,41.82,41.87,3874300,38.63
2009-12-02,44.49,44.75,42.97,43.37,4316600,39.99
2009-12-01,44.78,45.18,44.53,44.60,2561000,41.13
2009-11-30,44.22,44.70,43.70,44.00,3127200,40.57
2009-11-27,44.07,44.73,43.64,44.50,1338800,41.03
2009-11-25,45.17,46.09,44.75,45.78,1556300,42.21
2009-11-24,44.94,45.17,43.95,45.12,2672400,41.61
2009-11-23,45.35,46.06,44.85,45.07,2327500,41.56
2009-11-20,45.02,45.02,43.47,44.34,4028200,40.89
2009-11-19,47.39,47.59,45.39,45.56,2865400,42.01
2009-11-18,47.97,47.97,46.55,47.19,1870200,43.51
2009-11-17,47.29,47.67,46.85,47.53,2928600,43.83
2009-11-16,46.26,47.79,46.26,47.45,2818100,43.75
2009-11-13,45.22,46.43,44.94,45.94,3371600,42.36
2009-11-12,45.98,46.92,44.62,45.10,5023100,41.59
2009-11-11,46.74,46.98,45.75,46.38,2891900,42.77
2009-11-10,47.35,47.35,45.20,46.38,5478600,42.77
2009-11-09,48.40,48.40,46.82,47.99,4354700,44.25
2009-11-06,48.07,49.13,47.60,48.03,1462900,44.29
2009-11-05,47.73,48.78,47.22,48.74,1700200,44.94
2009-11-04,47.70,48.76,47.17,47.27,2343300,43.59
2009-11-03,45.17,47.52,44.50,47.09,2915700,43.42
2009-11-02,45.97,47.02,45.03,46.06,2526400,42.47
2009-10-30,47.95,47.95,45.25,45.79,2775800,42.22
2009-10-29,46.36,48.40,46.35,48.18,2505400,44.43
2009-10-28,48.82,48.82,45.71,45.92,3813600,42.34
2009-10-27,48.77,49.42,48.17,48.81,2804000,45.01
2009-10-26,50.32,51.30,48.70,48.93,4706800,45.12
2009-10-23,50.43,51.30,49.89,50.32,6119900,46.40
2009-10-22,47.32,49.38,46.47,49.19,3666100,45.36
2009-10-21,47.38,49.11,47.07,47.54,3671800,43.84
2009-10-20,48.88,49.03,46.79,47.76,3393800,44.04
2009-10-19,47.53,49.26,47.53,48.98,3063300,45.16
2009-10-16,48.00,48.00,46.60,47.29,3093200,43.61
2009-10-15,46.67,48.35,46.67,48.34,2553100,44.57
2009-10-14,47.44,47.74,46.67,47.11,2540100,43.44
2009-10-13,46.58,46.76,45.99,46.67,4284800,43.03
2009-10-12,45.78,46.66,45.78,46.48,2993800,42.86
2009-10-09,45.16,45.55,44.69,45.06,1772000,41.55
2009-10-08,43.54,45.76,43.32,45.44,3733500,41.90
2009-10-07,43.22,43.50,42.50,43.28,2206500,39.91
2009-10-06,42.10,43.31,42.02,43.22,2390900,39.85
2009-10-05,40.12,41.47,40.01,41.43,1972300,38.20
2009-10-02,40.22,40.75,39.73,40.00,2247100,36.88
2009-10-01,42.48,42.75,40.74,40.82,2952200,37.64
2009-09-30,43.14,43.14,41.79,42.54,3126900,39.23
2009-09-29,42.32,43.00,42.14,42.73,2815300,39.40
2009-09-28,41.49,42.68,41.33,42.52,1550900,39.21
2009-09-25,41.30,41.78,40.65,41.25,2761500,38.04
2009-09-24,41.89,42.00,40.95,41.52,2578500,38.29
2009-09-23,42.87,43.11,41.59,41.99,2599300,38.72
2009-09-22,41.95,42.85,41.63,42.64,2442400,39.32
2009-09-21,39.98,41.38,39.68,41.22,1916400,38.01
2009-09-18,41.93,42.15,40.76,41.25,2606800,38.04
2009-09-17,42.57,42.70,41.46,41.74,3000200,38.49
2009-09-16,41.74,42.80,41.70,42.64,2272100,39.32
2009-09-15,41.34,41.92,40.57,41.78,2839000,38.53
2009-09-14,40.35,41.21,39.93,40.88,4476000,37.70
2009-09-11,39.94,40.92,39.58,40.89,4119300,37.70
2009-09-10,38.71,39.78,38.40,39.50,2171300,36.42
2009-09-09,38.26,39.00,37.71,38.65,2551700,35.64
2009-09-08,37.27,38.50,37.14,38.08,2075300,35.11
2009-09-04,36.29,37.50,36.26,37.29,1459200,34.39
2009-09-03,35.95,36.62,35.89,36.49,2046000,33.65
2009-09-02,36.00,36.33,35.49,35.56,1872900,32.79
2009-09-01,36.95,37.78,35.85,36.01,2403600,33.18
2009-08-31,37.26,37.60,36.66,36.90,2282000,34.00
2009-08-28,38.56,38.78,37.63,38.14,1078400,35.14
2009-08-27,37.80,38.08,36.66,38.02,2107100,35.03
2009-08-26,38.26,38.59,37.74,38.15,1689400,35.15
2009-08-25,39.50,39.60,38.13,38.52,1942400,35.49
2009-08-24,39.45,39.65,38.89,39.30,1427200,36.21
2009-08-21,38.22,38.96,37.97,38.85,1416400,35.80
2009-08-20,37.44,38.20,37.30,37.68,1676400,34.72
2009-08-19,36.00,37.98,35.75,37.40,2900900,34.46
2009-08-18,35.60,36.69,35.50,36.58,1636800,33.71
2009-08-17,36.61,36.61,35.35,35.61,2332000,32.81
2009-08-14,38.52,38.80,36.99,37.48,1503700,34.54
2009-08-13,38.48,38.94,37.70,38.70,2082000,35.66
2009-08-12,36.86,38.22,36.84,37.88,2262700,34.91
2009-08-11,37.75,38.00,36.75,36.82,2091200,33.93
2009-08-10,38.30,38.63,37.85,38.31,1204100,35.30
2009-08-07,38.18,38.77,37.42,38.41,2267300,35.39
2009-08-06,38.67,38.78,37.37,37.88,2373800,34.91
2009-08-05,38.54,38.83,37.68,38.47,2453300,35.45
2009-08-04,38.36,39.59,37.89,38.89,3317500,35.84
2009-08-03,38.87,39.48,38.87,39.21,3285300,36.13
2009-07-31,37.74,38.26,36.91,37.89,3232600,34.91
2009-07-30,37.59,38.74,37.59,38.08,3219700,35.09
2009-07-29,38.27,38.38,36.71,37.06,4847900,34.15
2009-07-28,39.56,39.78,38.37,39.40,3034900,36.31
