Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,73.66,73.87,72.95,73.10,552300,73.10
2012-12-24,73.99,74.04,73.54,73.63,466500,73.63
2012-12-21,75.24,75.37,74.00,74.02,1717300,74.02
2012-12-20,75.61,75.96,75.04,75.34,626900,75.34
2012-12-19,76.58,76.58,75.50,75.51,922300,75.51
2012-12-18,75.68,76.54,75.34,76.47,1419400,76.47
2012-12-17,75.38,76.02,75.24,75.60,660700,75.60
2012-12-14,75.23,76.06,75.08,75.40,546700,75.40
2012-12-13,75.99,76.25,75.46,75.52,671200,75.52
2012-12-12,76.25,76.25,75.57,75.75,553000,75.75
2012-12-11,76.18,76.40,75.82,76.07,513300,76.07
2012-12-10,76.18,76.27,75.61,75.94,636500,75.94
2012-12-07,75.82,76.38,75.69,76.27,589100,76.27
2012-12-06,75.54,75.81,75.33,75.79,457400,75.79
2012-12-05,75.50,75.78,75.18,75.62,554700,75.62
2012-12-04,76.04,76.36,75.15,75.51,1053500,75.51
2012-12-03,76.45,76.74,75.95,76.17,989700,76.17
2012-11-30,75.37,76.46,74.75,76.35,3722400,76.35
2012-11-29,75.30,75.46,74.92,75.33,865200,75.33
2012-11-28,74.57,75.20,74.41,75.17,696800,75.17
2012-11-27,74.49,74.96,74.24,74.63,997000,74.63
2012-11-26,74.20,74.86,74.08,74.49,701400,74.49
2012-11-23,74.50,74.67,74.20,74.65,454600,74.65
2012-11-21,74.49,74.66,73.98,74.34,620300,74.34
2012-11-20,74.15,74.50,73.82,74.40,680500,74.40
2012-11-19,74.47,74.92,73.72,74.10,1488600,74.10
2012-11-16,73.05,74.29,72.75,74.29,1554900,74.29
2012-11-15,72.70,73.16,72.53,72.67,845500,72.67
2012-11-14,73.48,74.00,72.67,72.79,620800,72.79
2012-11-13,72.86,73.87,72.85,73.47,800800,73.47
2012-11-12,72.82,73.34,72.61,73.04,674000,73.04
2012-11-09,72.63,73.33,72.51,72.78,589000,72.78
2012-11-08,73.03,73.30,72.55,72.63,693200,72.63
2012-11-07,73.26,73.56,72.56,73.11,1103900,73.11
2012-11-06,73.00,73.69,72.91,73.49,702400,73.49
